,0
dnaA_1,8
tnpA_1,28
tnpB_1,50
MMSYN1_0030,638
MMSYN1_0032,11325
rpsG,5382
MMSYN1_0187,277
lpdA,0
MMSYN1_0253,3090
MMSYN1_0414,19124
MMSYN1_0469,3000
MMSYN1_0490,14157
ftsZ,0
parC,10493
MMSYN1_0641,0
rpoA,226
rpoB,9600
prs,4816
MMSYN1_0892,528
MMSYN1_0898,1427
tetM,1431
pyk,693
MMSYN1_0339,626
rpoD,6436
MMSYN1_0412,6206
MMSYN1_0460,3099
MMSYN1_0751,692
MMSYN1_0257,7233
MMSYN1_0312,25795
MMSYN1_0471,4
MMSYN1_0567,14609
MMSYN1_0691,6368
