,0
dnaA_1,5
tnpA_1,22
tnpB_1,49
MMSYN1_0030,657
MMSYN1_0032,11239
rpsG,5430
MMSYN1_0187,297
lpdA,0
MMSYN1_0253,3198
MMSYN1_0414,19265
MMSYN1_0469,2942
MMSYN1_0490,14212
ftsZ,1
parC,10471
MMSYN1_0641,0
rpoA,247
rpoB,9726
prs,4788
MMSYN1_0892,533
MMSYN1_0898,1445
tetM,1358
pyk,720
MMSYN1_0339,640
rpoD,6233
MMSYN1_0412,6177
MMSYN1_0460,3161
MMSYN1_0751,709
MMSYN1_0257,7506
MMSYN1_0312,25410
MMSYN1_0471,5
MMSYN1_0567,14637
MMSYN1_0691,7545
