Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
syn1.0_1,-0.008,6.3122,0.324,4.5396,-0.5622,0.1883,0.6796,0.1422,0.5058
syn1.0_2,0.329,7.1152,0.409,8.4638,-1.3169,0.3307,0.523,0.3259,0.492
syn1.0_3,0.1719,6.8286,0.3868,7.0891,-1.7152,0.3326,0.4547,0.3326,0.441
syn1.0_4,0.119,8.133,0.3589,6.9947,-1.9113,0.3227,0.4019,0.3237,0.3941
