cell,time,biorep,dilutions,vol,tubes,pos
min,12,1,1.00E-10,2.00E-09,6,0
min,12,1,1.00E-11,2.00E-10,6,0
min,12,1,1.00E-12,2.00E-11,6,0
min,12,2,0.1,2.00E+00,6,6
min,12,2,0.01,2.00E-01,6,6
min,12,2,0.001,2.00E-02,6,6
min,12,2,1.00E-04,2.00E-03,6,6
min,12,2,1.00E-05,2.00E-04,6,6
min,12,2,1.00E-06,2.00E-05,6,6
min,12,2,1.00E-07,2.00E-06,6,5
min,12,2,1.00E-08,2.00E-07,6,2
min,12,2,1.00E-09,2.00E-08,6,0
min,12,2,1.00E-10,2.00E-09,6,0
min,12,2,1.00E-11,2.00E-10,6,0
min,12,2,1.00E-12,2.00E-11,6,0
min,12,3,0.1,2.00E+00,6,6
min,12,3,0.01,2.00E-01,6,6
min,12,3,0.001,2.00E-02,6,6
min,12,3,1.00E-04,2.00E-03,6,6
min,12,3,1.00E-05,2.00E-04,6,6
min,12,3,1.00E-06,2.00E-05,6,6
min,12,3,1.00E-07,2.00E-06,6,6
min,12,3,1.00E-08,2.00E-07,6,0
min,12,3,1.00E-09,2.00E-08,6,0
min,12,3,1.00E-10,2.00E-09,6,0
min,12,3,1.00E-11,2.00E-10,6,0
min,12,3,1.00E-12,2.00E-11,6,0
min,12,4,0.1,2.00E+00,6,6
min,12,4,0.01,2.00E-01,6,6
min,12,4,0.001,2.00E-02,6,6
min,12,4,1.00E-04,2.00E-03,6,6
min,12,4,1.00E-05,2.00E-04,6,6
min,12,4,1.00E-06,2.00E-05,6,6
min,12,4,1.00E-07,2.00E-06,6,6
min,12,4,1.00E-08,2.00E-07,6,1
min,12,4,1.00E-09,2.00E-08,6,0
min,12,4,1.00E-10,2.00E-09,6,0
min,12,4,1.00E-11,2.00E-10,6,0
min,12,4,1.00E-12,2.00E-11,6,0
min,16,1,0.1,2.00E+00,6,6
min,16,1,0.01,2.00E-01,6,6
min,16,1,0.001,2.00E-02,6,6
min,16,1,1.00E-04,2.00E-03,6,6
min,16,1,1.00E-05,2.00E-04,6,6
min,16,1,1.00E-06,2.00E-05,6,6
min,16,1,1.00E-07,2.00E-06,6,6
min,16,1,1.00E-08,2.00E-07,6,5
min,16,1,1.00E-09,2.00E-08,6,1
min,16,1,1.00E-10,2.00E-09,6,0
min,16,1,1.00E-11,2.00E-10,6,0
min,16,1,1.00E-12,2.00E-11,6,0
min,16,2,0.1,2.00E+00,6,6
min,16,2,0.01,2.00E-01,6,6
min,16,2,0.001,2.00E-02,6,6
min,16,2,1.00E-04,2.00E-03,6,6
min,16,2,1.00E-05,2.00E-04,6,6
min,16,2,1.00E-06,2.00E-05,6,6
min,16,2,1.00E-07,2.00E-06,6,6
min,16,2,1.00E-08,2.00E-07,6,6
min,16,2,1.00E-09,2.00E-08,6,0
min,16,2,1.00E-10,2.00E-09,6,0
min,16,2,1.00E-11,2.00E-10,6,0
min,16,2,1.00E-12,2.00E-11,6,0
min,16,3,0.1,2.00E+00,6,6
min,16,3,0.01,2.00E-01,6,6
min,16,3,0.001,2.00E-02,6,6
min,16,3,1.00E-04,2.00E-03,6,6
min,16,3,1.00E-05,2.00E-04,6,6
min,16,3,1.00E-06,2.00E-05,6,6
min,16,3,1.00E-07,2.00E-06,6,6
min,16,3,1.00E-08,2.00E-07,6,6
min,16,3,1.00E-09,2.00E-08,6,1
min,16,3,1.00E-10,2.00E-09,6,0
min,16,3,1.00E-11,2.00E-10,6,0
min,16,3,1.00E-12,2.00E-11,6,0
min,16,4,0.1,2.00E+00,6,6
min,16,4,0.01,2.00E-01,6,6
min,16,4,0.001,2.00E-02,6,6
min,16,4,1.00E-04,2.00E-03,6,6
min,16,4,1.00E-05,2.00E-04,6,6
min,16,4,1.00E-06,2.00E-05,6,6
min,16,4,1.00E-07,2.00E-06,6,6
min,16,4,1.00E-08,2.00E-07,6,6
min,16,4,1.00E-09,2.00E-08,6,1
min,16,4,1.00E-10,2.00E-09,6,0
min,16,4,1.00E-11,2.00E-10,6,0
min,16,4,1.00E-12,2.00E-11,6,0
min,20,1,0.1,2.00E+00,6,6
min,20,1,0.01,2.00E-01,6,6
min,20,1,0.001,2.00E-02,6,6
min,20,1,1.00E-04,2.00E-03,6,6
min,20,1,1.00E-05,2.00E-04,6,6
min,20,1,1.00E-06,2.00E-05,6,6
min,20,1,1.00E-07,2.00E-06,6,6
min,20,1,1.00E-08,2.00E-07,6,6
min,20,1,1.00E-09,2.00E-08,6,0
min,20,1,1.00E-10,2.00E-09,6,0
min,20,1,1.00E-11,2.00E-10,6,0
min,20,1,1.00E-12,2.00E-11,6,0
min,20,2,0.1,2.00E+00,6,6
min,20,2,0.01,2.00E-01,6,6
min,20,2,0.001,2.00E-02,6,6
min,20,2,1.00E-04,2.00E-03,6,6
min,20,2,1.00E-05,2.00E-04,6,6
min,20,2,1.00E-06,2.00E-05,6,6
min,20,2,1.00E-07,2.00E-06,6,6
min,20,2,1.00E-08,2.00E-07,6,5
min,20,2,1.00E-09,2.00E-08,6,4
min,20,2,1.00E-10,2.00E-09,6,1
min,20,2,1.00E-11,2.00E-10,6,0
min,20,2,1.00E-12,2.00E-11,6,0
min,20,3,0.1,2.00E+00,6,6
min,20,3,0.01,2.00E-01,6,6
min,20,3,0.001,2.00E-02,6,6
min,20,3,1.00E-04,2.00E-03,6,6
min,20,3,1.00E-05,2.00E-04,6,6
min,20,3,1.00E-06,2.00E-05,6,6
min,20,3,1.00E-07,2.00E-06,6,6
min,20,3,1.00E-08,2.00E-07,6,6
min,20,3,1.00E-09,2.00E-08,6,1
min,20,3,1.00E-10,2.00E-09,6,1
min,20,3,1.00E-11,2.00E-10,6,0
min,20,3,1.00E-12,2.00E-11,6,0
min,20,4,0.1,2.00E+00,6,6
min,20,4,0.01,2.00E-01,6,6
min,20,4,0.001,2.00E-02,6,6
min,20,4,1.00E-04,2.00E-03,6,6
min,20,4,1.00E-05,2.00E-04,6,6
min,20,4,1.00E-06,2.00E-05,6,6
min,20,4,1.00E-07,2.00E-06,6,6
min,20,4,1.00E-08,2.00E-07,6,6
min,20,4,1.00E-09,2.00E-08,6,3
min,20,4,1.00E-10,2.00E-09,6,0
min,20,4,1.00E-11,2.00E-10,6,0
min,20,4,1.00E-12,2.00E-11,6,0
min,28,1,0.1,2.00E+00,6,6
min,28,1,0.01,2.00E-01,6,6
min,28,1,0.001,2.00E-02,6,6
min,28,1,1.00E-04,2.00E-03,6,6
min,28,1,1.00E-05,2.00E-04,6,6
min,28,1,1.00E-06,2.00E-05,6,6
min,28,1,1.00E-07,2.00E-06,6,6
min,28,1,1.00E-08,2.00E-07,6,4
min,28,1,1.00E-09,2.00E-08,6,0
min,28,1,1.00E-10,2.00E-09,6,0
min,28,1,1.00E-11,2.00E-10,6,0
min,28,1,1.00E-12,2.00E-11,6,0
min,28,2,0.1,2.00E+00,6,6
min,28,2,0.01,2.00E-01,6,6
min,28,2,0.001,2.00E-02,6,6
min,28,2,1.00E-04,2.00E-03,6,6
min,28,2,1.00E-05,2.00E-04,6,6
min,28,2,1.00E-06,2.00E-05,6,6
min,28,2,1.00E-07,2.00E-06,6,6
min,28,2,1.00E-08,2.00E-07,6,3
min,28,2,1.00E-09,2.00E-08,6,0
min,28,2,1.00E-10,2.00E-09,6,0
min,28,2,1.00E-11,2.00E-10,6,0
min,28,2,1.00E-12,2.00E-11,6,0
min,28,3,0.1,2.00E+00,6,6
min,28,3,0.01,2.00E-01,6,6
min,28,3,0.001,2.00E-02,6,6
min,28,3,1.00E-04,2.00E-03,6,6
min,28,3,1.00E-05,2.00E-04,6,6
min,28,3,1.00E-06,2.00E-05,6,6
min,28,3,1.00E-07,2.00E-06,6,6
min,28,3,1.00E-08,2.00E-07,6,3
min,28,3,1.00E-09,2.00E-08,6,0
min,28,3,1.00E-10,2.00E-09,6,0
min,28,3,1.00E-11,2.00E-10,6,0
min,28,3,1.00E-12,2.00E-11,6,0
min,28,4,0.1,2.00E+00,6,6
min,28,4,0.01,2.00E-01,6,6
min,28,4,0.001,2.00E-02,6,6
min,28,4,1.00E-04,2.00E-03,6,6
min,28,4,1.00E-05,2.00E-04,6,6
min,28,4,1.00E-06,2.00E-05,6,6
min,28,4,1.00E-07,2.00E-06,6,6
min,28,4,1.00E-08,2.00E-07,6,5
min,28,4,1.00E-09,2.00E-08,6,0
min,28,4,1.00E-10,2.00E-09,6,0
min,28,4,1.00E-11,2.00E-10,6,0
min,28,4,1.00E-12,2.00E-11,6,0
nm,0,1,0.1,2.00E+00,6,6
nm,0,1,0.01,2.00E-01,6,6
nm,0,1,0.001,2.00E-02,6,6
nm,0,1,1.00E-04,2.00E-03,6,6
nm,0,1,1.00E-05,2.00E-04,6,6
nm,0,1,1.00E-06,2.00E-05,6,6
nm,0,1,1.00E-07,2.00E-06,6,3
nm,0,1,1.00E-08,2.00E-07,6,1
nm,0,1,1.00E-09,2.00E-08,6,0
nm,0,1,1.00E-10,2.00E-09,6,0
nm,0,1,1.00E-11,2.00E-10,6,0
nm,0,1,1.00E-12,2.00E-11,6,0
nm,0,2,0.1,2.00E+00,6,6
nm,0,2,0.01,2.00E-01,6,6
nm,0,2,0.001,2.00E-02,6,6
nm,0,2,1.00E-04,2.00E-03,6,6
nm,0,2,1.00E-05,2.00E-04,6,6
nm,0,2,1.00E-06,2.00E-05,6,6
nm,0,2,1.00E-07,2.00E-06,6,2
nm,0,2,1.00E-08,2.00E-07,6,1
nm,0,2,1.00E-09,2.00E-08,6,0
nm,0,2,1.00E-10,2.00E-09,6,0
nm,0,2,1.00E-11,2.00E-10,6,0
nm,0,2,1.00E-12,2.00E-11,6,0
nm,0,3,0.1,2.00E+00,6,6
nm,0,3,0.01,2.00E-01,6,6
nm,0,3,0.001,2.00E-02,6,6
nm,0,3,1.00E-04,2.00E-03,6,6
nm,0,3,1.00E-05,2.00E-04,6,6
nm,0,3,1.00E-06,2.00E-05,6,6
nm,0,3,1.00E-07,2.00E-06,6,2
nm,0,3,1.00E-08,2.00E-07,6,0
nm,0,3,1.00E-09,2.00E-08,6,0
nm,0,3,1.00E-10,2.00E-09,6,0
nm,0,3,1.00E-11,2.00E-10,6,0
nm,0,3,1.00E-12,2.00E-11,6,0
nm,0,4,0.1,2.00E+00,6,6
nm,0,4,0.01,2.00E-01,6,6
nm,0,4,0.001,2.00E-02,6,6
nm,0,4,1.00E-04,2.00E-03,6,6
nm,0,4,1.00E-05,2.00E-04,6,6
nm,0,4,1.00E-06,2.00E-05,6,6
nm,0,4,1.00E-07,2.00E-06,6,4
nm,0,4,1.00E-08,2.00E-07,6,1
nm,0,4,1.00E-09,2.00E-08,6,0
nm,0,4,1.00E-10,2.00E-09,6,0
