cell,time,biorep,dilutions,vol,tubes,pos
nm,0,4,1.00E-11,2.00E-10,6,0
nm,0,4,1.00E-12,2.00E-11,6,0
nm,8.75,1,0.1,2.00E+00,6,6
nm,8.75,1,0.01,2.00E-01,6,6
nm,8.75,1,0.001,2.00E-02,6,6
nm,8.75,1,1.00E-04,2.00E-03,6,6
nm,8.75,1,1.00E-05,2.00E-04,6,6
nm,8.75,1,1.00E-06,2.00E-05,6,6
nm,8.75,1,1.00E-07,2.00E-06,6,5
nm,8.75,1,1.00E-08,2.00E-07,6,5
nm,8.75,1,1.00E-09,2.00E-08,6,2
nm,8.75,1,1.00E-10,2.00E-09,6,0
nm,8.75,1,1.00E-11,2.00E-10,6,0
nm,8.75,1,1.00E-12,2.00E-11,6,0
nm,8.75,2,0.1,2.00E+00,6,6
nm,8.75,2,0.01,2.00E-01,6,6
nm,8.75,2,0.001,2.00E-02,6,6
nm,8.75,2,1.00E-04,2.00E-03,6,6
nm,8.75,2,1.00E-05,2.00E-04,6,6
nm,8.75,2,1.00E-06,2.00E-05,6,6
nm,8.75,2,1.00E-07,2.00E-06,6,6
nm,8.75,2,1.00E-08,2.00E-07,6,6
nm,8.75,2,1.00E-09,2.00E-08,6,3
nm,8.75,2,1.00E-10,2.00E-09,6,0
nm,8.75,2,1.00E-11,2.00E-10,6,0
nm,8.75,2,1.00E-12,2.00E-11,6,0
nm,8.75,3,0.1,2.00E+00,6,6
nm,8.75,3,0.01,2.00E-01,6,6
nm,8.75,3,0.001,2.00E-02,6,6
nm,8.75,3,1.00E-04,2.00E-03,6,6
nm,8.75,3,1.00E-05,2.00E-04,6,6
nm,8.75,3,1.00E-06,2.00E-05,6,6
nm,8.75,3,1.00E-07,2.00E-06,6,6
nm,8.75,3,1.00E-08,2.00E-07,6,6
nm,8.75,3,1.00E-09,2.00E-08,6,4
nm,8.75,3,1.00E-10,2.00E-09,6,0
nm,8.75,3,1.00E-11,2.00E-10,6,0
nm,8.75,3,1.00E-12,2.00E-11,6,0
nm,8.75,4,0.1,2.00E+00,6,6
nm,8.75,4,0.01,2.00E-01,6,6
nm,8.75,4,0.001,2.00E-02,6,6
nm,8.75,4,1.00E-04,2.00E-03,6,6
nm,8.75,4,1.00E-05,2.00E-04,6,6
nm,8.75,4,1.00E-06,2.00E-05,6,6
nm,8.75,4,1.00E-07,2.00E-06,6,6
nm,8.75,4,1.00E-08,2.00E-07,6,6
nm,8.75,4,1.00E-09,2.00E-08,6,2
nm,8.75,4,1.00E-10,2.00E-09,6,1
nm,8.75,4,1.00E-11,2.00E-10,6,2
nm,8.75,4,1.00E-12,2.00E-11,6,0
nm,12,1,0.1,2.00E+00,6,6
nm,12,1,0.01,2.00E-01,6,6
nm,12,1,0.001,2.00E-02,6,6
nm,12,1,1.00E-04,2.00E-03,6,6
nm,12,1,1.00E-05,2.00E-04,6,6
nm,12,1,1.00E-06,2.00E-05,6,6
nm,12,1,1.00E-07,2.00E-06,6,6
nm,12,1,1.00E-08,2.00E-07,6,6
nm,12,1,1.00E-09,2.00E-08,6,6
nm,12,1,1.00E-10,2.00E-09,6,5
nm,12,1,1.00E-11,2.00E-10,6,2
nm,12,1,1.00E-12,2.00E-11,6,3
nm,12,2,0.1,2.00E+00,6,6
nm,12,2,0.01,2.00E-01,6,6
nm,12,2,0.001,2.00E-02,6,6
nm,12,2,1.00E-04,2.00E-03,6,6
nm,12,2,1.00E-05,2.00E-04,6,6
nm,12,2,1.00E-06,2.00E-05,6,6
nm,12,2,1.00E-07,2.00E-06,6,6
nm,12,2,1.00E-08,2.00E-07,6,6
nm,12,2,1.00E-09,2.00E-08,6,6
nm,12,2,1.00E-10,2.00E-09,6,2
nm,12,2,1.00E-11,2.00E-10,6,0
nm,12,2,1.00E-12,2.00E-11,6,0
