Strain,W_anc1.0,W_anc1.0_SE,W_anc.own,W_anc.own_SE,W_anc3B,W_anc3B_SE,W_anc.other,W_anc.other_SE
syn1.0,1.305052701,0.059047326,1.305052701,0.059047326,2.723488232,0.123224677,2.723488232,0.123224677
syn3B,0.822697212,0.031715173,1.716870263,0.066185756,1.716870263,0.066185756,0.822697212,0.031715173
