day,cell,techrep,biorep,trial,well,order
140,jcvi,1,0,1,B3,3
140,nm,1,1,1,B8,4
140,nm,1,2,1,B9,5
140,nm,1,3,1,B10,6
140,nm,1,4,1,B11,7
140,jcvi,2,1,1,C3,8
140,nm,2,2,1,C8,9
140,nm,2,3,1,C9,10
140,nm,2,4,1,C10,11
140,nm,2,0,1,C11,12
140,jcvi,3,1,1,D3,13
140,nm,3,2,1,D8,14
140,nm,3,3,1,D9,15
140,nm,3,4,1,D10,16
140,nm,3,1,1,D11,17
140,jcvi,4,2,1,E3,18
140,nm,4,3,1,E8,19
140,nm,4,4,1,E9,20
140,nm,4,0,1,E10,21
140,nm,4,1,1,E11,22
140,jcvi,5,2,1,F3,23
140,nm,5,3,1,F8,24
140,nm,5,4,1,F9,25
140,nm,5,1,1,F10,26
140,nm,5,2,1,F11,27
140,jcvi,6,3,1,G3,28
140,nm,6,4,1,G8,29
140,nm,6,0,1,G9,30
140,nm,6,1,1,G10,31
140,nm,6,2,1,G11,32
