day,cell,techrep,biorep,trial,well,order
10,jcvi,1,0,1,B3,3
10,nm,1,1,1,B4,4
10,nm,1,2,1,B5,5
10,nm,1,3,1,B6,6
10,nm,1,4,1,B7,7
10,m,1,5,1,B8,8
10,m,1,6,1,B9,9
10,m,1,7,1,B10,10
10,m,1,8,1,B11,11
10,jcvi,2,0,1,C3,13
10,nm,2,1,1,C4,14
10,nm,2,2,1,C5,15
10,nm,2,3,1,C6,16
10,nm,2,4,1,C7,17
10,m,2,5,1,C8,18
10,m,2,6,1,C9,19
10,m,2,7,1,C10,20
10,m,2,8,1,C11,21
10,jcvi,3,0,1,D3,23
10,nm,3,1,1,D4,24
10,nm,3,2,1,D5,25
10,nm,3,3,1,D6,26
10,nm,3,4,1,D7,27
10,m,3,5,1,D8,28
10,m,3,6,1,D9,29
10,m,3,7,1,D10,30
10,m,3,8,1,D11,31
10,jcvi,4,0,1,E3,33
10,nm,4,1,1,E4,34
10,nm,4,2,1,E5,35
10,nm,4,3,1,E6,36
10,nm,4,4,1,E7,37
10,m,4,5,1,E8,38
10,m,4,6,1,E9,39
10,m,4,7,1,E10,40
10,m,4,8,1,E11,41
10,jcvi,5,0,1,F3,43
10,nm,5,1,1,F4,44
10,nm,5,2,1,F5,45
10,nm,5,3,1,F6,46
10,nm,5,4,1,F7,47
10,m,5,5,1,F8,48
10,m,5,6,1,F9,49
10,m,5,7,1,F10,50
10,m,5,8,1,F11,51
10,jcvi,6,0,1,G3,53
10,nm,6,1,1,G4,54
10,nm,6,2,1,G5,55
10,nm,6,3,1,G6,56
10,nm,6,4,1,G7,57
10,m,6,5,1,G8,58
10,m,6,6,1,G9,59
10,m,6,7,1,G10,60
10,m,6,8,1,G11,61
