day,cell,techrep,biorep,trial,well,order
20,jcvi,1,0,1,B3,3
20,nm,1,1,1,B4,4
20,nm,1,2,1,B5,5
20,nm,1,3,1,B6,6
20,nm,1,4,1,B7,7
20,jcvi,2,0,1,C3,8
20,nm,2,1,1,C4,9
20,nm,2,2,1,C5,10
20,nm,2,3,1,C6,11
20,nm,2,4,1,C7,12
20,jcvi,3,0,1,D3,13
20,nm,3,1,1,D4,14
20,nm,3,2,1,D5,15
20,nm,3,3,1,D6,16
20,nm,3,4,1,D7,17
20,jcvi,4,0,1,E3,18
20,nm,4,1,1,E4,19
20,nm,4,2,1,E5,20
20,nm,4,3,1,E6,21
20,nm,4,4,1,E7,22
20,jcvi,5,0,1,F3,23
20,nm,5,1,1,F4,24
20,nm,5,2,1,F5,25
20,nm,5,3,1,F6,26
20,nm,5,4,1,F7,27
20,jcvi,6,0,1,G3,28
20,nm,6,1,1,G4,29
20,nm,6,2,1,G5,30
20,nm,6,3,1,G6,31
20,nm,6,4,1,G7,32
