day,cell,techrep,biorep,trial,well,order
120,jcvi,1,0,1,B3,3
120,nm,1,1,1,B4,4
120,nm,1,2,1,B5,5
120,nm,1,3,1,B6,6
120,nm,1,4,1,B7,7
120,m,1,5,1,B8,8
120,m,1,6,1,B9,9
120,jcvi,2,0,1,C3,13
120,nm,2,1,1,C4,14
120,nm,2,2,1,C5,15
120,nm,2,3,1,C6,16
120,nm,2,4,1,C7,17
120,m,2,5,1,C8,18
120,m,2,6,1,C9,19
120,jcvi,3,0,1,D3,23
120,nm,3,1,1,D4,24
120,nm,3,2,1,D5,25
120,nm,3,3,1,D6,26
120,nm,3,4,1,D7,27
120,m,3,5,1,D8,28
120,m,3,6,1,D9,29
120,jcvi,4,0,1,E3,33
120,nm,4,1,1,E4,34
120,nm,4,2,1,E5,35
120,nm,4,3,1,E6,36
120,nm,4,4,1,E7,37
120,m,4,5,1,E8,38
120,m,4,6,1,E9,39
120,jcvi,5,0,1,F3,43
120,nm,5,1,1,F4,44
120,nm,5,2,1,F5,45
120,nm,5,3,1,F6,46
120,nm,5,4,1,F7,47
120,m,5,5,1,F8,48
120,m,5,6,1,F9,49
120,jcvi,6,0,1,G3,53
120,nm,6,1,1,G4,54
120,nm,6,2,1,G5,55
120,nm,6,3,1,G6,56
120,nm,6,4,1,G7,57
120,m,6,5,1,G8,58
120,m,6,6,1,G9,59
