day,cell,techrep,biorep,trial,well,order
60,jcvi,1,0,1,B3,3
60,nm,1,1,1,B8,4
60,nm,1,2,1,B9,5
60,nm,1,3,1,B10,6
60,nm,1,4,1,B11,7
60,jcvi,2,0,1,C3,8
60,nm,2,1,1,C8,9
60,nm,2,2,1,C9,10
60,nm,2,3,1,C10,11
60,nm,2,4,1,C11,12
60,jcvi,3,0,1,D3,13
60,nm,3,1,1,D8,14
60,nm,3,2,1,D9,15
60,nm,3,3,1,D10,16
60,nm,3,4,1,D11,17
60,jcvi,4,0,1,E3,18
60,nm,4,1,1,E8,19
60,nm,4,2,1,E9,20
60,nm,4,3,1,E10,21
60,nm,4,4,1,E11,22
60,jcvi,5,0,1,F3,23
60,nm,5,1,1,F8,24
60,nm,5,2,1,F9,25
60,nm,5,3,1,F10,26
60,nm,5,4,1,F11,27
60,jcvi,6,0,1,G3,28
60,nm,6,1,1,G8,29
60,nm,6,2,1,G9,30
60,nm,6,3,1,G10,31
60,nm,6,4,1,G11,32
