Strain,OD,ODx1000
anc3b,0.093,93
anc3b,0.074,74
anc3b,0.062,62
anc3b,0.074,74
anc3b,0.071,71
anc3b,0.102,102
evo3b,0.516,494
evo3b,0.424333333,525
evo3b,0.475666667,529
evo3b,0.632,459
evos1,1.795333333,422
evos1,1.663333333,392
evos1,1.496666667,552
evos1,1.558333333,405
ancs1,0.774,774
ancs1,0.958,958
ancs1,0.793,793
ancs1,0.805,805
ancs1,1.074,1074
ancs1,0.854,854
