Strain,Time,OD,ODx1000
3b,anc,0.093,93
3b,anc,0.074,74
3b,anc,0.062,62
3b,anc,0.074,74
3b,anc,0.071,71
3b,anc,0.102,102
3b,evolved,0.516,494
3b,evolved,0.424333333,525
3b,evolved,0.475666667,529
3b,evolved,0.632,459
s1,evolved,1.795333333,422
s1,evolved,1.663333333,392
s1,evolved,1.496666667,552
s1,evolved,1.558333333,405
s1,anc,0.774,774
s1,anc,0.958,958
s1,anc,0.793,793
s1,anc,0.805,805
s1,anc,1.074,1074
s1,anc,0.854,854
