cell,time,biorep,dilutions,pos
min,12,4,1.00E-09,0
min,12,4,1.00E-10,0
min,12,4,1.00E-11,0
min,12,4,1.00E-12,0
min,16,1,0.1,6
min,16,1,0.01,6
min,16,1,0.001,6
min,16,1,1.00E-04,6
min,16,1,1.00E-05,6
min,16,1,1.00E-06,6
min,16,1,1.00E-07,6
min,16,1,1.00E-08,5
min,16,1,1.00E-09,1
min,16,1,1.00E-10,0
min,16,1,1.00E-11,0
min,16,1,1.00E-12,0
min,16,2,0.1,6
min,16,2,0.01,6
min,16,2,0.001,6
min,16,2,1.00E-04,6
min,16,2,1.00E-05,6
min,16,2,1.00E-06,6
min,16,2,1.00E-07,6
min,16,2,1.00E-08,6
min,16,2,1.00E-09,0
min,16,2,1.00E-10,0
min,16,2,1.00E-11,0
min,16,2,1.00E-12,0
min,16,3,0.1,6
min,16,3,0.01,6
min,16,3,0.001,6
min,16,3,1.00E-04,6
min,16,3,1.00E-05,6
min,16,3,1.00E-06,6
min,16,3,1.00E-07,6
min,16,3,1.00E-08,6
min,16,3,1.00E-09,1
min,16,3,1.00E-10,0
min,16,3,1.00E-11,0
min,16,3,1.00E-12,0
min,16,4,0.1,6
min,16,4,0.01,6
min,16,4,0.001,6
min,16,4,1.00E-04,6
min,16,4,1.00E-05,6
min,16,4,1.00E-06,6
min,16,4,1.00E-07,6
min,16,4,1.00E-08,6
min,16,4,1.00E-09,1
min,16,4,1.00E-10,0
min,16,4,1.00E-11,0
min,16,4,1.00E-12,0
min,20,1,0.1,6
min,20,1,0.01,6
min,20,1,0.001,6
min,20,1,1.00E-04,6
min,20,1,1.00E-05,6
min,20,1,1.00E-06,6
min,20,1,1.00E-07,6
min,20,1,1.00E-08,6
min,20,1,1.00E-09,0
min,20,1,1.00E-10,0
min,20,1,1.00E-11,0
min,20,1,1.00E-12,0
min,20,2,0.1,6
min,20,2,0.01,6
min,20,2,0.001,6
min,20,2,1.00E-04,6
min,20,2,1.00E-05,6
min,20,2,1.00E-06,6
min,20,2,1.00E-07,6
min,20,2,1.00E-08,5
min,20,2,1.00E-09,4
min,20,2,1.00E-10,1
min,20,2,1.00E-11,0
min,20,2,1.00E-12,0
min,20,3,0.1,6
min,20,3,0.01,6
min,20,3,0.001,6
min,20,3,1.00E-04,6
min,20,3,1.00E-05,6
min,20,3,1.00E-06,6
min,20,3,1.00E-07,6
min,20,3,1.00E-08,6
min,20,3,1.00E-09,1
min,20,3,1.00E-10,1
min,20,3,1.00E-11,0
min,20,3,1.00E-12,0
min,20,4,0.1,6
min,20,4,0.01,6
min,20,4,0.001,6
min,20,4,1.00E-04,6
min,20,4,1.00E-05,6
min,20,4,1.00E-06,6
min,20,4,1.00E-07,6
min,20,4,1.00E-08,6
min,20,4,1.00E-09,3
min,20,4,1.00E-10,0
min,20,4,1.00E-11,0
min,20,4,1.00E-12,0
min,28,1,0.1,6
min,28,1,0.01,6
min,28,1,0.001,6
min,28,1,1.00E-04,6
min,28,1,1.00E-05,6
min,28,1,1.00E-06,6
min,28,1,1.00E-07,6
min,28,1,1.00E-08,4
min,28,1,1.00E-09,0
min,28,1,1.00E-10,0
min,28,1,1.00E-11,0
min,28,1,1.00E-12,0
min,28,2,0.1,6
min,28,2,0.01,6
min,28,2,0.001,6
min,28,2,1.00E-04,6
min,28,2,1.00E-05,6
min,28,2,1.00E-06,6
min,28,2,1.00E-07,6
min,28,2,1.00E-08,3
min,28,2,1.00E-09,0
min,28,2,1.00E-10,0
min,28,2,1.00E-11,0
min,28,2,1.00E-12,0
min,28,3,0.1,6
min,28,3,0.01,6
min,28,3,0.001,6
min,28,3,1.00E-04,6
min,28,3,1.00E-05,6
min,28,3,1.00E-06,6
min,28,3,1.00E-07,6
min,28,3,1.00E-08,3
min,28,3,1.00E-09,0
min,28,3,1.00E-10,0
min,28,3,1.00E-11,0
min,28,3,1.00E-12,0
min,28,4,0.1,6
min,28,4,0.01,6
min,28,4,0.001,6
min,28,4,1.00E-04,6
min,28,4,1.00E-05,6
min,28,4,1.00E-06,6
min,28,4,1.00E-07,6
min,28,4,1.00E-08,5
min,28,4,1.00E-09,0
min,28,4,1.00E-10,0
min,28,4,1.00E-11,0
min,28,4,1.00E-12,0
nm,0,1,0.1,6
nm,0,1,0.01,6
nm,0,1,0.001,6
nm,0,1,1.00E-04,6
nm,0,1,1.00E-05,6
nm,0,1,1.00E-06,6
nm,0,1,1.00E-07,3
nm,0,1,1.00E-08,1
nm,0,1,1.00E-09,0
nm,0,1,1.00E-10,0
nm,0,1,1.00E-11,0
nm,0,1,1.00E-12,0
nm,0,2,0.1,6
nm,0,2,0.01,6
nm,0,2,0.001,6
nm,0,2,1.00E-04,6
nm,0,2,1.00E-05,6
nm,0,2,1.00E-06,6
nm,0,2,1.00E-07,2
nm,0,2,1.00E-08,1
nm,0,2,1.00E-09,0
nm,0,2,1.00E-10,0
nm,0,2,1.00E-11,0
nm,0,2,1.00E-12,0
nm,0,3,0.1,6
nm,0,3,0.01,6
