LINE_ID,strain,tot,generations,per_genome_per_gen,bpsub_per_genome,per_CDS_per_gen,bpsub_per_CDS,per_nt_per_gen,bpsub_per_nt,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot,genome_len,CDS_len,AT/GC_genome,AT_proportion_genome,to_AT_tot,to_CG_tot,AT/GC_muts,GC/AT_muts,ts,tv,ts/tv,dN,dS,dN_dS,in_CDS,not_in_CDS
3B_44,MA_3B,5,539.3572864,0.009270293,0.005562176,0.008184258,0.004910555,1.70605E-08,1.02363E-08,0,2,0,0,0,0,0,1,2,0,0,,1.5,0,3,,,0,3,,1.5,0,3,543379,479721,3.117817791,0.757152926,3,0,#DIV/0!,0,1,2,0.5,3,1,0.797236374,3,0
3B_45,MA_3B,6,520.0945262,0.011536364,0.011536364,0.010184855,0.010184855,2.12308E-08,2.12308E-08,0,0,0,0,0,1,0,4,1,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,5,0,#DIV/0!,0,4,2,2,5,1,1.328728928,5,1
3B_47,MA_3B,7,500.831766,0.013976749,0.011980071,0.012339343,0.01057658,2.57219E-08,2.20474E-08,0,1,0,0,0,0,0,3,3,0,0,,3,0,3,,,0,3,,3,0,3,543379,479721,3.117817791,0.757152926,6,0,#DIV/0!,0,3,3,1,4,1,1.062982487,4,2
3B_49,MA_3B,13,674.1966081,0.019282209,0.014832469,0.017023258,0.013094813,3.54857E-08,2.72967E-08,0,3,0,0,0,0,1,2,7,0,0,,5.333333333,0,16,,,0,16,,5.333333333,0,16,543379,479721,3.117817791,0.757152926,9,0,#DIV/0!,0,2,8,0.25,7,2,0.930109239,8,2
3B_51,MA_3B,10,654.9338478,0.015268718,0.012214974,0.013479955,0.010783964,2.80996E-08,2.24797E-08,0,2,0,0,0,0,0,4,4,0,0,,1.5,0,3,,,0,3,,1.5,0,3,543379,479721,3.117817791,0.757152926,8,0,#DIV/0!,0,4,4,1,6,1,1.594475697,6,2
3B_52,MA_3B,6,520.0945262,0.011536364,0.00769091,0.010184855,0.006789903,2.12308E-08,1.41539E-08,1,1,0,1,0,0,0,3,0,0,0,1,1,1,1,,,1,1,1,1,1,1,543379,479721,3.117817791,0.757152926,3,1,3,0.333333333,3,1,3,1,3,0.088581299,3,1
3B_53,MA_3B,11,597.1455671,0.018420969,0.013397068,0.016262914,0.011827573,3.39008E-08,2.46551E-08,0,3,0,0,0,0,0,7,1,0,0,,2,0,6,,,0,6,,2,0,6,543379,479721,3.117817791,0.757152926,8,0,#DIV/0!,0,7,1,7,8,1,2.125970218,8,0
3B_54,MA_3B,10,635.6710876,0.015731406,0.015731406,0.013888439,0.013888439,2.89511E-08,2.89511E-08,0,0,0,0,0,0,0,7,3,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,10,0,#DIV/0!,0,7,3,2.333333333,7,1,1.860222793,7,3
3B_55,MA_3B,16,616.4083274,0.02595682,0.024334519,0.022915924,0.021483678,4.77693E-08,4.47837E-08,0,1,0,0,0,2,0,10,3,0,0,,2,0,2,,,0,2,,2,0,2,543379,479721,3.117817791,0.757152926,13,0,#DIV/0!,0,10,5,2,14,2,1.860226506,15,0
3B_56,MA_3B,6,654.9338478,0.009161231,0.007634359,0.008087973,0.006739978,1.68597E-08,1.40498E-08,0,1,0,0,0,0,0,5,0,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,5,0,#DIV/0!,0,5,0,#DIV/0!,4,1,1.062982487,4,1
3B_58,MA_3B,10,654.9338478,0.015268718,0.013741846,0.013479955,0.01213196,2.80996E-08,2.52896E-08,0,1,0,0,0,0,0,7,2,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,9,0,#DIV/0!,0,7,2,3.5,8,2,1.062982643,9,0
3B_62,MA_3B,10,635.6710876,0.015731406,0.014158265,0.013888439,0.012499595,2.89511E-08,2.6056E-08,0,1,0,0,0,0,0,6,3,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,9,0,#DIV/0!,0,6,3,2,7,1,1.860222793,7,2
3B_63,MA_3B,11,539.3572864,0.020394644,0.016686527,0.018005369,0.014731665,3.7533E-08,3.07088E-08,0,2,0,0,0,1,0,5,3,0,0,,2,0,4,,,0,4,,2,0,4,543379,479721,3.117817791,0.757152926,8,0,#DIV/0!,0,5,4,1.25,8,1,2.125970218,8,1
3B_64,MA_3B,14,635.6710876,0.022023968,0.020450828,0.019443814,0.01805497,4.05315E-08,3.76364E-08,1,0,0,0,0,0,0,8,5,0,0,1,,1,0,,,1,0,1,,1,0,543379,479721,3.117817791,0.757152926,13,0,#DIV/0!,0,8,5,1.6,9,2,1.19585621,10,3
3B_66,MA_3B,11,616.4083274,0.017845314,0.01297841,0.015754697,0.011457962,3.28414E-08,2.38846E-08,0,3,0,1,0,0,0,5,2,0,0,,1.333333333,0,4,,,0,4,,1.333333333,0,4,543379,479721,3.117817791,0.757152926,7,1,7,0.142857143,5,3,1.666666667,6,1,1.594475697,6,2
3B_72,MA_3B,9,462.3062455,0.019467615,0.019467615,0.017186943,0.017186943,3.5827E-08,3.5827E-08,0,0,0,0,0,0,0,5,4,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,9,0,#DIV/0!,0,5,4,1.25,8,3,0.708653451,10,0
3B_73,MA_3B,9,616.4083274,0.014600711,0.014600711,0.012890207,0.012890207,2.68702E-08,2.68702E-08,0,0,0,0,1,0,1,7,0,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,7,1,7,0.142857143,8,1,8,9,2,1.19585621,10,0
3B_74,MA_3B,15,674.1966081,0.022248703,0.019282209,0.01964222,0.017023258,4.09451E-08,3.54857E-08,1,1,0,0,0,1,0,9,3,0,0,1,1,1,1,,,1,1,1,1,1,1,543379,479721,3.117817791,0.757152926,12,0,#DIV/0!,0,9,4,2.25,10,1,2.657466049,10,3
3B_75,MA_3B,8,577.8828069,0.013843637,0.012113183,0.012221826,0.010694098,2.54769E-08,2.22923E-08,0,1,0,0,0,0,0,5,2,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,7,0,#DIV/0!,0,5,2,2.5,7,1,1.860222793,7,0
3B_76,MA_3B,11,616.4083274,0.017845314,0.011356109,0.015754697,0.010025717,3.28414E-08,2.08991E-08,1,3,0,1,0,0,0,4,2,0,0,1,1.666666667,1,5,,,1,5,1,1.666666667,1,5,543379,479721,3.117817791,0.757152926,6,1,6,0.166666667,4,3,1.333333333,5,2,0.664362923,6,1
3B_78,MA_3B,17,616.4083274,0.027579121,0.021089916,0.024348169,0.018619188,5.07549E-08,3.88125E-08,1,3,0,0,0,1,0,10,2,0,0,2,1.666666667,2,5,,,2,5,2,1.666666667,2,5,543379,479721,3.117817791,0.757152926,12,0,#DIV/0!,0,10,3,3.333333333,12,1,3.188963191,12,1
3B_79,MA_3B,9,500.831766,0.017970106,0.017970106,0.01586487,0.01586487,3.3071E-08,3.3071E-08,0,0,0,0,0,0,0,3,6,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,9,0,#DIV/0!,0,3,6,0.5,6,1,1.594475697,6,2
