sample,treatment,1,2,6,9,11,30,64,66,113,117,126,129,133,138,147,149,150,168,169,195,201,214,220,221,227,228,240,253,257,259,264,281,285,289,300,303,304,326,332,346,373,374,389,394,398,399,407,412,414,416,420,426,430,442,452,453,475,511,512,513,528,535,540,542,543,545,606,608,609,612,615,620,624,638,641,645,659,663,665,687,688,691,747,775,779,790,791,803,804,805,814,820,831,836,837,853,859,860,874,878,879,885,913,918
mm9,s3,1,0,0,0,0,0,0,0.133,0.333,0,0,1,0,0,1,0,0,1.074,0,0,0,0.052,0,0,0,0,0.308,0,0,0,0.063,1,0,0,0,0.383,0,0,0,0,1,0,0,0,0,1,0,0,0.105,0,1,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0.108,0,0,0,0,0,0.326,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.077,0.345,0,0,0,0,0,0,0.448,0,0.233,0,0.877,0
mm11,s3,0,1,0,0,0,0,0,0,0.35,0,1.008,1,0,0,1,0,0,0.232,0,0,0,0.243,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0.471,0,0,0.055,0.052,0,0,0,0,0,0,0.456,0,0.097,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.112,0,0,0.12,0,1,0,0,0.053,0,0,0.06,0,1,0,0.63,0,1,0,1,0,0,0,0.44,0,0,0.519,0,0,0,0,0,0,0,1,0
mm10,s3,0,2,0.051,0,0,0,0,0,0,1,0,1,0,0,0,0,0.146,0.209,0,0,0,0,0.078,0,0,0,0,0,0.199,0.085,0,0,0,0,0,0.085,0,0,0,0,1,0,0,0.112,0,0,0,0,1.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.143,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0.906,0,0,1.023,1,0,2,0,0.075,0,1,0,0,0,0,0,0,0,0,0,0,1,0
mm13,s3,0,1,0.274,0,0,0,0.061,0,0.161,0,0,1,0,0,0,0,0,1.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.318,1,0,0,0,0,1,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,1,0,0.66,0,0,0,0.946,1.052,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0
mm6,s1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,1,0,1,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.197,0,0,0,0,1,0,0,0,0,0,0.639,0,0,0,0,0,0,0,0,0,1,1
mm4,s1,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1,0.113,0,0,0,0,0,0,0,0.697,1,0,0.201,0.807,0,0,0,0,0.061,0.06,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0.064,0,0,0.055,0,0,0,0,0,0,0.053,0.064,0,0,0,0,0,0,0,0.829,0,0,0,0,0,0,0.144,0,0,0,0,0,0,0.706,0,0,0,0,0,0.782,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mm3,s1,0.443,0.052,0.059,1,0,0.085,0,0,0,0,0,0,1,0,0,1,0,0,0,0.058,0,0.058,0,0.284,0,1.588,0,0,0,0,0,0,0.05,0,0,0.65,0,1,0,0,0,0,0.459,0,0,0,0.292,0.077,0.075,0,0.653,0,0,0.055,0.497,0.319,0,0,0,0,0.063,0.098,0,0,0.424,0,0.138,0,0,0,0,0,0,0,1.462,0,0,0.286,0.276,0,0,0,0.073,0,0,0,0,0,0.673,0,0.204,0,0.161,0,0,0,0.42,0.159,0.062,0.061,0,0.091,0.546,0
mm1,s1,1.15,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,1,0,0,0.142,0,0.118,0,0,0,0,1.595,0,0.375,0,0,0,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0.877,0,0,0,0,0,0.302,0,0,0,0,1,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0,0,0,0.548,0,0,0.084,0,0,0,0,0,0,0,0
