,0
dnaA_1,7
tnpA_1,13
tnpB_1,40
MMSYN1_0030,548
MMSYN1_0032,12390
rpsG,4987
MMSYN1_0187,346
lpdA,0
MMSYN1_0253,3024
MMSYN1_0414,19685
MMSYN1_0469,3246
MMSYN1_0490,18337
ftsZ,0
parC,10775
MMSYN1_0641,0
rpoA,176
rpoB,7950
prs,4075
MMSYN1_0892,646
MMSYN1_0898,1698
tetM,712
pyk,568
MMSYN1_0339,850
rpoD,5965
MMSYN1_0412,7521
MMSYN1_0460,2732
MMSYN1_0751,716
MMSYN1_0257,7206
MMSYN1_0312,28514
MMSYN1_0471,4
MMSYN1_0567,15612
MMSYN1_0691,7361
