gene,0
ftsZ,1
dnaN,0
pyrG,4
rpoC,66
fakA,81
ptsG,3565
atpD,0
tetM,360
amiF,132
JCVISYN3A_0430,27
gyrB,26445
clsA,830
pgpA,8249
JCVISYN3A_0373,786
polC,11574
relA,3787
clpB,5731
lgt,155
nadK,11595
rpsC,1214
dnaB,12733
JCVISYN3A_0691,1745
