Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
syn3B_1,0.1117,2.8367,0.8311,39.6529,-1.9031,0.478,NA,NA,NA
syn3B_2,0.1002,2.4195,0.7025,39.7075,-2.0277,0.4566,7.1991,0.3229,1.082
syn3B_3,0.0812,3.0538,0.3746,40.1759,-2.238,0.287,0.6719,0.2622,0.487
syn3B_4,0.0648,3.21,0.3736,40.431,-2.2766,0.2922,0.6595,0.2617,0.4856
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,0.57045,,,,,,
