Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7804,0.8505,0.0982,6.1075,-3.6284,1.6309,-15.7971,0.0913,0.1061,0.091,0.1054
C8,0.7858,0.8647,0.1002,6.185,-3.5786,1.6506,-15.4262,0.0928,0.1088,0.0924,0.1081
D8,0.7806,0.8936,0.1052,5.7677,-3.6219,1.6742,-14.7029,0.098,0.1135,0.0976,0.1128
E8,0.7877,0.8897,0.1044,6.1702,-3.5656,1.6773,-14.6343,0.0967,0.1135,0.0962,0.1127
F8,0.7904,0.8858,0.1063,6.2972,-3.5398,1.6762,-14.2228,0.0979,0.1162,0.0973,0.1153
G8,0.7979,0.8731,0.1062,5.7501,-3.5697,1.671,-14.9745,0.0983,0.1154,0.0978,0.1146
B9,0.7853,0.8504,0.0918,5.8041,-3.6431,1.6357,-17.7482,0.0855,0.0991,0.0851,0.0985
C9,0.7945,0.9172,0.1087,6.0303,-3.508,1.7117,-14.1365,0.1004,0.1184,0.0999,0.1175
D9,0.8003,1.0324,0.1401,6.534,-3.3301,1.8327,-9.2974,0.1273,0.1556,0.1263,0.1539
E9,0.7712,0.9069,0.0884,5.9,-3.6216,1.6781,-18.1008,0.0827,0.0951,0.0824,0.0945
F9,0.7995,0.9077,0.0982,5.5,-3.6016,1.7073,-16.9428,0.0914,0.1059,0.091,0.1053
G9,0.7897,0.9239,0.1178,5.4446,-3.7269,1.7137,-13.072,0.1107,0.1259,0.1104,0.1253
B10,0.8106,0.7442,0.2049,8.0905,-3.2621,1.5547,-2.9641,0.1828,0.231,0.1812,0.2286
C10,0.8093,0.6505,0.1763,7.7989,-3.136,1.4598,-4.9777,0.1528,0.2056,0.1505,0.2022
D10,0.826,0.6982,0.1756,7.6374,-3.0086,1.5242,-5.453,0.1508,0.2066,0.1483,0.2028
E10,0.816,0.6915,0.1505,6.9852,-3.016,1.5075,-8.0541,0.1298,0.1767,0.1276,0.1734
F10,0.8101,0.7206,0.1473,7.0691,-3.1163,1.5308,-8.1797,0.1289,0.1699,0.1272,0.1674
G10,0.7942,0.6881,0.121,6.3992,-3.121,1.4823,-11.7474,0.1074,0.1378,0.1061,0.1359
B11,0.8126,0.5461,0.1009,7.2512,-3.5249,1.3587,-14.9358,0.0874,0.1174,0.0862,0.1156
C11,0.8095,0.6501,0.0999,7.0889,-3.4638,1.4596,-15.2429,0.0872,0.1154,0.086,0.1137
D11,0.808,0.6023,0.1016,7.6295,-3.491,1.4103,-14.2848,0.0889,0.1168,0.0879,0.1153
E11,0.7987,0.6752,0.0901,6.2421,-3.4728,1.4739,-18.1499,0.0806,0.1019,0.0797,0.1005
F11,0.7941,0.7831,0.099,6.0471,-3.4902,1.5772,-16.0472,0.0906,0.109,0.09,0.1081
G11,0.7933,0.6088,0.1078,7.3775,-3.6032,1.4021,-12.9179,0.0969,0.1207,0.0962,0.1195
