Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.767,0.8893,0.1022,8.2798,-3.1087,1.6564,-12.4136,0.0929,0.1132,0.0922,0.1123
C4,0.7842,0.7848,0.1491,8.951,-3.0457,1.5689,-5.6476,0.1295,0.1732,0.1276,0.1705
D4,0.782,0.7916,0.1436,8.8274,-3.0352,1.5736,-6.2788,0.125,0.1664,0.1232,0.1639
E4,0.783,0.7733,0.1743,9.0955,-2.9921,1.5563,-3.4172,0.1492,0.2056,0.1467,0.2019
F4,0.7766,0.7856,0.1462,8.8458,-3.0679,1.5622,-5.8946,0.128,0.1684,0.1263,0.1661
G4,0.7887,0.8485,0.172,8.6313,-2.7079,1.6372,-4.1346,0.1408,0.2132,0.1367,0.2073
B5,0.7975,0.7439,0.213,10.5116,-3.0743,1.5414,0.0346,0.1858,0.2467,0.1832,0.2428
C5,0.7931,0.9845,0.1712,9.5989,-3.5965,1.7776,-3.2958,0.1585,0.1856,0.1579,0.1845
D5,0.7842,0.7197,0.1607,9.6696,-3.3566,1.5039,-3.8967,0.1456,0.1783,0.1446,0.1768
E5,0.7948,0.7428,0.1868,10.1306,-3.3351,1.5376,-1.7375,0.1685,0.2081,0.1672,0.2063
F5,0.7855,0.7277,0.1727,9.9339,-3.39,1.5132,-2.7265,0.1569,0.1911,0.1559,0.1896
G5,0.7928,0.7236,0.1847,9.8875,-3.1737,1.5164,-2.083,0.1639,0.2097,0.1621,0.2072
B6,0.7862,0.9822,0.1577,13.0231,-3.5589,1.7684,-0.83,0.1466,0.1702,0.1461,0.1693
C6,0.7872,0.7436,0.1521,12.5194,-3.4183,1.5308,-1.8524,0.1395,0.1664,0.1388,0.1654
D6,0.7802,0.7713,0.1488,12.2412,-3.4707,1.5515,-2.3112,0.138,0.1609,0.1375,0.1601
E6,0.7854,0.7509,0.1334,11.9961,-3.6801,1.5363,-4.3127,0.1248,0.1428,0.1245,0.1422
F6,0.7825,0.7663,0.1462,12.3235,-3.5802,1.5488,-2.524,0.1362,0.1574,0.1357,0.1567
G6,0.7848,0.7664,0.154,12.126,-3.5805,1.5512,-2.0252,0.1434,0.1658,0.1429,0.1651
B7,0.7924,0.968,0.1408,9.9827,-3.6793,1.7605,-5.613,0.1321,0.1506,0.1317,0.1499
C7,0.7951,0.8341,0.1498,8.7978,-3.7243,1.6292,-5.9291,0.14,0.1606,0.1397,0.1599
D7,0.7796,0.8891,0.1394,9.2012,-3.8438,1.6687,-6.296,0.1319,0.1477,0.1316,0.1473
E7,0.7859,0.8378,0.1503,8.8915,-3.5832,1.6237,-5.6263,0.1388,0.1631,0.1383,0.1622
F7,0.7831,0.8983,0.1356,8.9788,-3.9018,1.6814,-7.0155,0.1288,0.1431,0.1286,0.1427
G7,0.795,0.8993,0.1359,8.3982,-3.5342,1.6942,-7.798,0.1262,0.1469,0.1257,0.1462
