Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.769,0.7834,0.1049,7.2026,-3.7391,1.5524,-13.0262,0.0975,0.1133,0.0971,0.1127
C4,0.7692,0.7535,0.1014,7.6187,-3.7159,1.5227,-13.3041,0.0937,0.1102,0.0933,0.1095
D4,0.7667,0.7362,0.0972,7.0601,-3.7193,1.503,-14.684,0.0898,0.1057,0.0894,0.105
E4,0.765,0.7856,0.1039,6.9466,-3.7896,1.5506,-13.37,0.0969,0.1118,0.0966,0.1112
F4,0.768,0.7311,0.099,7.4147,-3.7443,1.4992,-13.971,0.0916,0.1074,0.0913,0.1068
G4,0.7717,0.9656,0.1215,6.751,-3.6414,1.7373,-10.8076,0.1136,0.1308,0.1131,0.13
B5,0.782,0.6104,0.1412,9.3621,-3.1389,1.3924,-5.9952,0.1223,0.1646,0.1205,0.1619
C5,0.7784,0.6761,0.1316,8.0983,-3.0818,1.4545,-8.2745,0.1151,0.152,0.1135,0.1497
D5,0.7651,0.7011,0.1061,8.2276,-3.2187,1.4662,-11.6777,0.0947,0.1197,0.0938,0.1183
E5,0.7662,0.7424,0.1046,8.0989,-3.37,1.5085,-12.1072,0.096,0.1144,0.0956,0.1137
F5,0.7787,0.7508,0.1321,7.8579,-3.0542,1.5295,-8.4619,0.1169,0.1505,0.1157,0.1486
G5,0.7995,0.6819,0.1631,7.7255,-2.9392,1.4814,-5.9007,0.1396,0.1932,0.1369,0.1892
B6,0.7943,0.6145,0.136,9.795,-3.1718,1.4088,-6.3834,0.1181,0.158,0.1164,0.1555
C6,0.7839,0.6653,0.1309,8.7634,-3.0591,1.4492,-7.8197,0.1143,0.1513,0.1127,0.149
D6,0.7655,0.7089,0.1088,8.1606,-3.2454,1.4744,-11.2738,0.0984,0.1208,0.0978,0.1197
E6,0.7698,0.6813,0.1218,8.2872,-3.0429,1.4511,-9.1972,0.1076,0.1389,0.1064,0.1372
F6,0.7637,1.0757,0.1151,8.3951,-3.5263,1.8394,-9.9458,0.108,0.1233,0.1075,0.1226
G6,0.7673,0.9308,0.1122,8.1468,-3.5522,1.6981,-10.7485,0.1043,0.1212,0.1038,0.1205
B7,0.7784,0.7773,0.0899,5.8411,-3.4966,1.5557,-17.9919,0.0825,0.0986,0.082,0.0978
C7,0.7741,0.9078,0.0975,5.7856,-3.55,1.6818,-16.0874,0.091,0.105,0.0906,0.1044
D7,0.7714,0.921,0.1086,6.0634,-3.5133,1.6924,-13.5458,0.1011,0.1171,0.1007,0.1165
E7,0.777,0.9143,0.108,5.9791,-3.6025,1.6913,-13.8799,0.101,0.1158,0.1007,0.1153
F7,0.7786,0.9625,0.1127,6.2824,-3.4039,1.741,-12.7911,0.1039,0.1232,0.1033,0.1222
G7,0.7885,0.9196,0.1453,6.7783,-3.4496,1.7081,-8.2747,0.1328,0.1597,0.1321,0.1585
