Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7732,0.3407,0.0724,12.2425,-3.8262,1.1139,-17.0694,0.0619,0.0857,0.0608,0.0841
C8,0.7734,0.3303,0.0669,12.1704,-3.837,1.1037,-19.554,0.057,0.0794,0.056,0.0778
D8,0.7692,0.3287,0.0653,11.3859,-3.833,1.0979,-20.9099,0.0557,0.0775,0.0547,0.076
E8,0.7756,0.3169,0.0478,10.2115,-3.9815,1.0924,-34.1781,0.0422,0.0544,0.0418,0.0538
F8,0.7741,0.3516,0.0617,11.5401,-3.8333,1.1257,-22.8453,0.0536,0.0718,0.0528,0.0706
G8,0.7913,0.3689,0.0653,10.9502,-3.864,1.1602,-22.3117,0.0573,0.075,0.0566,0.0739
B9,0.7726,0.3169,0.0663,13.5291,-3.8824,1.0896,-18.4439,0.0557,0.0797,0.0546,0.078
C9,0.7697,0.3147,0.0528,12.8869,-3.9844,1.0844,-27.0672,0.0454,0.062,0.0446,0.0609
D9,0.7704,0.3153,0.0539,12.6503,-3.9968,1.0857,-26.498,0.0468,0.0626,0.0461,0.0617
E9,0.7691,0.3203,0.0507,12.8442,-3.9947,1.0894,-28.6638,0.0439,0.0592,0.0433,0.0582
F9,0.7751,0.3301,0.0577,12.026,-3.8548,1.1053,-24.7617,0.0497,0.0678,0.0489,0.0666
G9,0.7928,0.3245,0.0652,11.6584,-3.8333,1.1173,-21.7039,0.0557,0.0771,0.0547,0.0756
B10,0.7707,0.3191,0.0724,12.426,-3.8568,1.0898,-16.8166,0.0614,0.0863,0.0602,0.0846
C10,0.7703,0.3329,0.0655,12.4538,-3.8354,1.1032,-19.7965,0.056,0.0776,0.055,0.0761
D10,0.7777,0.2982,0.0601,10.8185,-3.8371,1.0759,-24.6606,0.0512,0.0714,0.0502,0.07
E10,0.7696,0.3391,0.0596,12.1858,-3.8521,1.1087,-23.2267,0.0515,0.0696,0.0507,0.0685
F10,0.7696,0.344,0.0658,12.648,-3.8552,1.1136,-19.4545,0.0568,0.077,0.0559,0.0757
G10,0.7762,0.3553,0.0666,12.6285,-3.8985,1.1315,-19.3368,0.0582,0.0769,0.0575,0.0758
B11,0.7702,0.335,0.0323,12.7422,-4.6482,1.1052,-52.2794,0.0303,0.0347,0.0302,0.0345
C11,0.7654,0.3147,0.0339,12.9236,-4.6868,1.08,-48.7171,0.0317,0.0364,0.0316,0.0362
D11,0.7629,0.3588,0.0335,13.4442,-4.7704,1.1217,-48.8137,0.0317,0.0355,0.0316,0.0353
E11,0.7727,0.3588,0.0348,13.0473,-4.686,1.1315,-47.6041,0.0328,0.0371,0.0327,0.0369
F11,0.7747,0.3356,0.0362,12.5032,-4.5643,1.1102,-45.8973,0.0338,0.039,0.0337,0.0388
G11,0.7729,0.3157,0.0364,12.718,-4.5487,1.0886,-45.3304,0.0337,0.0395,0.0335,0.0392
