Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7713,0.2584,0.0312,9.7311,-4.6891,1.0297,-57.7185,0.0295,0.0332,0.0294,0.0331
C8,0.7748,0.2891,0.0483,9.8103,-4.3421,1.0639,-34.1292,0.0443,0.0528,0.0441,0.0525
D8,0.7595,0.2733,0.0396,10.5182,-4.3543,1.0328,-41.9621,0.0364,0.0431,0.0363,0.0429
E8,0.7627,0.2682,0.0422,10.6194,-4.4026,1.0309,-38.766,0.039,0.046,0.0388,0.0457
F8,0.7718,0.2817,0.0452,10.5654,-4.326,1.0535,-36.1105,0.0415,0.0495,0.0413,0.0492
G8,0.7733,0.2972,0.0476,9.6777,-4.3642,1.0705,-34.7469,0.044,0.0517,0.0438,0.0514
B9,0.7703,0.2529,0.0364,13.2848,-4.2235,1.0232,-44.5366,0.0323,0.0413,0.032,0.0408
C9,0.7553,0.3513,0.0501,12.9359,-4.1205,1.1067,-28.3682,0.0458,0.0549,0.0456,0.0546
D9,0.7685,0.298,0.0387,13.8681,-4.168,1.0666,-40.4402,0.0349,0.0431,0.0346,0.0427
E9,0.7639,0.2408,0.0317,14.0785,-4.2034,1.0047,-51.813,0.0282,0.0357,0.028,0.0353
F9,0.7536,0.2226,0.0256,13.5209,-4.476,0.9763,-66.7995,0.0233,0.0282,0.0232,0.028
G9,0.7737,0.2582,0.0406,13.6249,-4.1047,1.0318,-38.4332,0.0361,0.046,0.0358,0.0455
B10,0.7797,0.3803,0.0838,11.0609,-4.0678,1.16,-14.5256,0.0748,0.0944,0.0742,0.0934
C10,0.7228,0.3763,0.0816,10.1284,-4.0421,1.0992,-14.2655,0.073,0.0916,0.0724,0.0907
D10,0.7786,0.391,0.0918,11.0873,-4.0248,1.1696,-12.2715,0.0824,0.1027,0.0818,0.1018
E10,0.7686,0.3585,0.0753,10.8742,-4.0789,1.1271,-17.1614,0.0673,0.0847,0.0668,0.0839
F10,0.7678,0.244,0.05,10.9931,-4.2031,1.0118,-31.0271,0.0441,0.0572,0.0436,0.0565
G10,0.7725,0.379,0.0751,10.3418,-4.071,1.1514,-17.9247,0.0674,0.0841,0.0669,0.0833
B11,0.7881,0.3054,0.0648,13.9812,-4.1164,1.0934,-19.3647,0.0574,0.0736,0.0568,0.0728
C11,0.6841,0.2838,0.062,13.3813,-4.189,0.9679,-16.9128,0.0546,0.0709,0.054,0.07
D11,0.7832,0.315,0.0583,12.6718,-4.0905,1.0982,-24.1289,0.0524,0.0652,0.052,0.0646
E11,0.7854,0.2594,0.0598,13.9382,-4.1935,1.0448,-22.074,0.0528,0.0682,0.0522,0.0674
F11,0.6778,0.2418,0.054,13.0003,-4.1908,0.9196,-21.4246,0.0472,0.0623,0.0466,0.0614
G11,0.7883,0.4046,0.0718,13.3287,-4.1374,1.193,-16.8071,0.0651,0.0796,0.0647,0.079
