Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.8002,0.8236,0.1073,5.464,-3.6073,1.6238,-15.1032,0.1011,0.1142,0.1009,0.1138
C8,0.8144,0.8049,0.1696,5.5716,-3.4032,1.6192,-7.7837,0.1558,0.1853,0.155,0.1841
D8,0.7947,0.7636,0.1067,5.4912,-3.6307,1.5584,-15.0472,0.0998,0.1145,0.0995,0.114
E8,0.7979,0.9715,0.1371,5.9287,-3.2506,1.7693,-10.195,0.1232,0.1542,0.1219,0.1522
F8,0.7944,0.7875,0.1301,5.4913,-3.5707,1.5819,-11.4018,0.1216,0.1396,0.1212,0.139
G8,0.8162,0.8398,0.1475,5.5261,-3.3229,1.656,-9.8196,0.1355,0.1612,0.1348,0.1601
B9,0.7952,0.9049,0.1265,6.4976,-3.3835,1.7001,-10.8901,0.1146,0.1408,0.1137,0.1393
C9,0.7867,0.9483,0.1109,6.047,-3.6385,1.7351,-13.5354,0.1035,0.1195,0.1031,0.1187
D9,0.7853,1.0171,0.1274,5.9706,-3.493,1.8024,-11.0807,0.1182,0.1382,0.1176,0.1373
E9,0.78,0.9295,0.1042,5.9285,-3.5305,1.7096,-14.7162,0.0965,0.1134,0.096,0.1125
F9,0.7801,1.0065,0.1017,5.5783,-3.5645,1.7866,-15.5752,0.0953,0.1091,0.0949,0.1085
G9,0.8031,0.8351,0.1389,5.5965,-3.6287,1.6382,-10.4244,0.1284,0.1507,0.1279,0.1498
B10,0.8078,0.8896,0.1954,6.4463,-3.151,1.6974,-5.093,0.177,0.2168,0.1758,0.215
C10,0.8024,0.8431,0.1483,6.4958,-3.2262,1.6456,-8.5092,0.1352,0.1636,0.1343,0.1623
D10,0.7955,0.8993,0.1475,6.4903,-3.282,1.6948,-8.4715,0.1336,0.1637,0.1327,0.1622
E10,0.7956,0.821,0.1361,6.4075,-3.3641,1.6167,-9.7844,0.1254,0.1482,0.1249,0.1473
F10,0.7886,0.8449,0.1299,6.0852,-3.3792,1.6335,-10.7198,0.1207,0.1402,0.1203,0.1395
G10,0.8001,0.8641,0.1486,5.7339,-3.353,1.6642,-9.2041,0.1378,0.1607,0.1373,0.1599
B11,0.8279,0.8602,0.2292,5.8351,-3.1126,1.6881,-4.2824,0.2047,0.2587,0.2027,0.2557
C11,0.8293,0.8163,0.2039,6.0776,-3.156,1.6456,-5.2779,0.1816,0.2306,0.1798,0.228
D11,0.8263,0.8194,0.2242,6.9901,-3.2187,1.6457,-3.3291,0.2008,0.2517,0.1991,0.2492
E11,0.8112,0.9584,0.1704,5.8733,-3.318,1.7696,-7.3679,0.1546,0.1888,0.1536,0.1871
F11,0.8378,0.8337,0.2141,6.763,-3.1387,1.6715,-4.1745,0.1905,0.2422,0.1888,0.2394
G11,0.8135,0.9945,0.1511,5.2411,-3.2701,1.808,-9.692,0.1375,0.1672,0.1366,0.1657
