Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.795,0.8131,0.1697,7.4567,-3.5237,1.6081,-5.5784,0.1556,0.1857,0.1549,0.1845
C4,0.7962,0.733,0.1173,7.1641,-3.5198,1.5292,-11.582,0.1088,0.1269,0.1084,0.1263
D4,0.7905,0.6437,0.1026,7.325,-3.3788,1.4341,-13.9116,0.0925,0.1144,0.0918,0.1134
E4,0.7864,0.6989,0.0956,7.5768,-3.5575,1.4854,-15.0876,0.0887,0.1033,0.0884,0.1028
F4,0.788,0.7021,0.0945,7.437,-3.7484,1.4901,-15.5257,0.0887,0.1009,0.0885,0.1005
G4,0.7745,0.7156,0.0765,8.0147,-3.9916,1.4901,-19.8063,0.0731,0.0802,0.073,0.08
B5,0.8044,0.8763,0.1959,7.1097,-3.3555,1.6806,-4.353,0.1795,0.2144,0.1787,0.2131
C5,0.8088,0.8545,0.1593,7.429,-3.3816,1.6633,-6.6771,0.1466,0.1735,0.146,0.1725
D5,0.8042,0.8388,0.1326,6.4182,-3.339,1.643,-10.3729,0.122,0.1447,0.1214,0.1438
E5,0.8053,0.839,0.1286,7.013,-3.2703,1.6443,-10.3042,0.1177,0.1413,0.117,0.1403
F5,0.8065,0.825,0.1262,6.3053,-3.2425,1.6315,-11.3659,0.1154,0.1388,0.1147,0.1378
G5,0.8019,0.8629,0.1357,5.8217,-3.3698,1.6647,-10.5438,0.1253,0.1475,0.1247,0.1466
B6,0.7992,0.7971,0.201,8.2714,-3.4198,1.5963,-2.8389,0.184,0.2204,0.1831,0.2189
C6,0.7883,0.7786,0.1611,7.7215,-3.4986,1.5669,-5.8761,0.1485,0.1755,0.1478,0.1745
D6,0.806,0.83,0.1661,7.6292,-3.3337,1.6361,-5.8606,0.1523,0.1819,0.1515,0.1807
E6,0.8085,0.8089,0.1368,7.512,-3.3194,1.6174,-8.8471,0.1245,0.1512,0.1237,0.15
F6,0.7818,0.8149,0.1137,6.7706,-3.3244,1.5966,-12.2215,0.1044,0.1245,0.1038,0.1236
G6,0.7921,0.7848,0.1567,6.8875,-3.294,1.5769,-7.1531,0.1416,0.1743,0.1406,0.1728
B7,0.7827,0.5587,0.0942,8.6948,-3.7376,1.3414,-14.1836,0.0859,0.1037,0.0855,0.103
C7,0.7851,0.7403,0.1071,7.9823,-3.5631,1.5254,-12.2402,0.0979,0.1178,0.0973,0.1169
D7,0.7848,0.7909,0.107,7.8319,-3.4888,1.5757,-12.3967,0.0973,0.1184,0.0967,0.1174
E7,0.7876,0.6008,0.1096,8.205,-3.4102,1.3883,-11.6293,0.0981,0.1231,0.0973,0.1219
F7,0.7929,0.7545,0.1086,8.189,-3.4375,1.5474,-11.9623,0.0995,0.119,0.099,0.1182
G7,0.7762,0.8528,0.127,6.4632,-3.4543,1.6289,-10.4541,0.1195,0.1351,0.1192,0.1347
