Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7811,0.8038,0.1155,6.4701,-4.0505,1.5849,-12.2132,0.1107,0.1206,0.1106,0.1204
C4,0.7938,0.7561,0.127,6.5721,-3.8358,1.5499,-10.723,0.1199,0.1346,0.1197,0.1342
D4,0.7754,0.7396,0.1288,6.7171,-4.0325,1.515,-9.9424,0.1227,0.1354,0.1226,0.1351
E4,0.7846,0.7129,0.1371,6.1467,-3.896,1.4975,-9.7137,0.1291,0.1458,0.1289,0.1453
F4,0.7849,0.7237,0.1268,6.4308,-3.8398,1.5086,-10.6924,0.1194,0.135,0.1191,0.1345
G4,0.7955,0.7157,0.1335,5.923,-3.9106,1.5112,-10.5806,0.1259,0.1418,0.1256,0.1413
B5,0.7673,0.7487,0.1426,6.987,-3.6396,1.516,-7.9444,0.1299,0.1571,0.1292,0.1559
C5,0.7673,0.7425,0.1254,6.4099,-3.7467,1.5098,-10.5254,0.116,0.136,0.1155,0.1352
D5,0.7646,0.6723,0.1123,7.564,-3.7761,1.4369,-11.2466,0.1031,0.1227,0.1026,0.1219
E5,0.7742,0.5474,0.133,7.1255,-3.3735,1.3217,-8.9952,0.1167,0.153,0.1153,0.1508
F5,0.772,0.6788,0.1019,6.9021,-3.7039,1.4508,-13.9934,0.0932,0.112,0.0927,0.1111
G5,0.7888,0.5797,0.1271,6.9265,-3.5348,1.3686,-10.2447,0.1144,0.142,0.1136,0.1406
B6,0.7779,0.8112,0.1777,8.0831,-3.3446,1.5892,-4.1154,0.1616,0.1964,0.1606,0.1948
C6,0.7691,0.7749,0.1495,7.2019,-3.558,1.544,-7.0861,0.1387,0.1615,0.1383,0.1607
D6,0.779,0.7915,0.155,7.0077,-3.4928,1.5705,-6.9557,0.1434,0.168,0.1429,0.1671
E6,0.7708,0.798,0.1365,7.0706,-3.6384,1.5688,-8.5754,0.1279,0.1461,0.1276,0.1455
F6,0.7728,0.805,0.1472,6.4921,-3.7136,1.5778,-8.0753,0.1387,0.1566,0.1385,0.156
G6,0.7782,0.7846,0.141,6.3971,-3.7463,1.5628,-8.9095,0.1328,0.15,0.1325,0.1494
B7,0.7846,0.8723,0.1408,7.2008,-3.2346,1.657,-8.2501,0.1279,0.1558,0.1271,0.1545
C7,0.7846,0.8936,0.1356,7.0584,-3.2956,1.6782,-8.9654,0.1234,0.1498,0.1227,0.1486
D7,0.7859,0.9057,0.1175,6.578,-3.2715,1.6916,-11.8987,0.1079,0.1287,0.1073,0.1277
E7,0.7853,0.8654,0.1115,6.1631,-3.3534,1.6507,-13.2747,0.1034,0.1207,0.103,0.1201
F7,0.7801,0.8754,0.1157,6.0774,-3.4841,1.6555,-12.5477,0.1082,0.124,0.108,0.1235
G7,0.7924,0.9242,0.1295,5.8921,-3.6539,1.7166,-11.0399,0.1219,0.1378,0.1217,0.1373
