Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7606,0.3074,0.0717,13.3512,-4.0673,1.068,-15.8007,0.0635,0.0814,0.0628,0.0805
C8,0.7617,0.3339,0.0752,13.6584,-4.0295,1.0956,-14.19,0.0668,0.0851,0.0662,0.0841
D8,0.7589,0.3058,0.063,13.7116,-4.2177,1.0647,-19.3101,0.0566,0.0705,0.0562,0.0699
E8,0.755,0.2908,0.0552,13.693,-4.3974,1.0459,-23.7665,0.0503,0.0609,0.05,0.0605
F8,0.7609,0.2672,0.0409,14.0104,-4.7431,1.0281,-36.8262,0.0381,0.0441,0.0379,0.0439
G8,0.7629,0.2453,0.0357,13.9504,-4.8464,1.0082,-44.4925,0.0332,0.0384,0.0331,0.0382
B9,0.7664,0.2627,0.0418,13.6733,-4.587,1.0291,-36.4871,0.0384,0.0456,0.0382,0.0453
C9,0.7542,0.2215,0.0256,13.1868,-4.9643,0.9757,-67.2042,0.0239,0.0275,0.0239,0.0273
D9,0.757,0.2593,0.0293,13.9056,-4.9496,1.0163,-56.6818,0.0276,0.0312,0.0275,0.0311
E9,0.7499,0.2531,0.0257,14.1651,-5.0857,1.003,-65.3739,0.0244,0.0272,0.0243,0.0271
F9,0.7568,0.2866,0.0395,14.6642,-4.6321,1.0435,-37.7426,0.0365,0.0428,0.0363,0.0426
G9,0.7638,0.2758,0.0371,14.2645,-4.7897,1.0396,-42.0189,0.0346,0.0398,0.0345,0.0396
B10,0.7705,0.3201,0.0692,13.5562,-4.1191,1.0906,-17.0263,0.062,0.0776,0.0615,0.0769
C10,0.7724,0.5131,0.0789,12.1921,-3.9192,1.2855,-14.7182,0.0718,0.0872,0.0713,0.0865
D10,0.7647,0.2592,0.0394,13.3751,-4.744,1.0239,-39.656,0.0367,0.0424,0.0366,0.0423
E10,0.7584,0.2363,0.0342,13.7819,-4.9157,0.9947,-46.716,0.032,0.0367,0.0319,0.0366
F10,0.7631,0.2786,0.0442,14.0959,-4.6251,1.0417,-33.113,0.0409,0.0479,0.0408,0.0477
G10,0.7686,0.2494,0.0379,14.0323,-4.7367,1.0181,-41.4244,0.0351,0.041,0.0349,0.0408
B11,0.7704,0.3462,0.0767,13.5364,-4.0587,1.1165,-14.0759,0.0687,0.086,0.0681,0.0852
C11,0.7674,0.3113,0.0626,13.5941,-4.2617,1.0787,-20.0288,0.0568,0.0693,0.0564,0.0688
D11,0.764,0.2311,0.0363,13.8154,-4.8896,0.9951,-43.6306,0.0339,0.0391,0.0338,0.0389
E11,0.7593,0.2393,0.0375,14.2638,-4.874,0.9986,-41.0481,0.0349,0.0404,0.0348,0.0402
F11,0.764,0.2075,0.0305,14.0438,-5.0441,0.9715,-54.259,0.0285,0.0328,0.0285,0.0326
G11,0.7812,0.2894,0.0648,12.2469,-4.2052,1.0705,-20.835,0.0581,0.0726,0.0577,0.0719
