Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7492,0.9667,0.0854,4.6277,-2.8668,1.7158,-19.5282,0.0768,0.0956,0.0761,0.0946
C4,0.7708,0.8573,0.1034,4.9142,-2.848,1.6281,-15.659,0.0898,0.1207,0.0883,0.1185
D4,0.744,0.9023,0.0705,4.439,-3.3911,1.6463,-24.5333,0.0664,0.075,0.0663,0.0748
E4,0.7459,0.8585,0.0849,4.3718,-2.9986,1.6044,-19.8103,0.0762,0.0953,0.0755,0.0943
F4,0.7565,0.8446,0.0898,5.0341,-2.9475,1.6011,-18.1648,0.0796,0.1024,0.0786,0.101
G4,0.6867,1.0563,0.0679,2.0498,-3.1583,1.743,-25.7562,0.0635,0.0728,0.0633,0.0724
B5,0.8027,0.5263,0.1253,6.1909,-3.2438,1.3289,-11.5204,0.1087,0.1462,0.107,0.1437
C5,0.7743,0.5041,0.081,6.6321,-2.9645,1.2784,-19.6484,0.064,0.1044,0.0614,0.1006
D5,0.7885,0.5469,0.1109,6.4705,-3.1195,1.3354,-13.1644,0.0933,0.1335,0.0912,0.1305
E5,0.7826,0.5263,0.1028,6.6077,-3.1333,1.3089,-14.3855,0.0863,0.124,0.0844,0.1212
F5,0.7925,0.5428,0.1103,6.2637,-2.9805,1.3353,-13.5737,0.0912,0.1355,0.0887,0.1318
G5,0.7877,0.5585,0.1082,6.0276,-3.3525,1.3462,-14.0692,0.0959,0.1229,0.0949,0.1214
B6,0.7998,0.89,0.162,6.2316,-3.0533,1.6898,-7.4854,0.1438,0.184,0.1423,0.1818
C6,0.7983,0.85,0.1353,5.8913,-3.4873,1.6482,-10.4446,0.126,0.1458,0.1255,0.1451
D6,0.8076,0.8635,0.1347,5.1591,-3.413,1.6711,-11.443,0.1258,0.1445,0.1254,0.1439
E6,0.784,0.8859,0.1191,5.7903,-3.6871,1.6699,-12.3985,0.1133,0.1255,0.1131,0.1252
F6,0.7886,0.8786,0.1041,4.5462,-3.8484,1.6672,-16.343,0.1,0.1085,0.0999,0.1083
G6,0.7641,0.9655,0.1026,4.1802,-3.3749,1.7295,-16.3652,0.0967,0.1091,0.0965,0.1087
B7,0.7958,0.7972,0.1198,6.2185,-3.1625,1.593,-12.1431,0.1081,0.1337,0.1071,0.1324
C7,0.7955,0.7227,0.1376,6.6948,-3.2184,1.5182,-9.3188,0.1237,0.1542,0.1226,0.1526
D7,0.7759,0.744,0.1162,5.5301,-3.2731,1.5198,-12.9262,0.1067,0.127,0.1062,0.1261
E7,0.7771,0.7311,0.1253,5.9113,-3.3249,1.5081,-11.2521,0.1149,0.1372,0.1143,0.1362
F7,0.7886,0.7057,0.1505,5.9156,-3.0827,1.4943,-8.6292,0.1334,0.1716,0.1318,0.1692
G7,0.7798,0.7526,0.1539,5.5138,-3.2014,1.5324,-8.5557,0.1392,0.1713,0.1381,0.1698
