Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7648,0.4644,0.0828,11.5402,-4.4345,1.2292,-13.8586,0.0783,0.0877,0.0782,0.0875
C8,0.7642,0.4712,0.0841,11.1102,-4.2708,1.2354,-13.8845,0.079,0.0898,0.0788,0.0895
D8,0.7663,0.4622,0.0747,11.185,-4.3442,1.2285,-16.9807,0.0704,0.0795,0.0703,0.0792
E8,0.7792,0.4461,0.0864,10.6755,-3.8891,1.2254,-14.134,0.0788,0.0951,0.0784,0.0945
F8,0.7757,0.4362,0.0839,10.9554,-4.0274,1.2118,-14.4818,0.0771,0.0915,0.0768,0.091
G8,0.7704,0.4172,0.0963,12.1949,-3.9049,1.1876,-9.8598,0.0861,0.1082,0.0854,0.1071
B9,0.7605,0.4699,0.044,16.0769,-5.4098,1.2305,-31.1853,0.0431,0.045,0.0431,0.0449
C9,0.7632,0.5844,0.042,16.7633,-5.5975,1.3476,-32.9499,0.0409,0.0434,0.0408,0.0432
D9,0.7628,0.5729,0.0324,17.8262,-6.1586,1.3357,-46.4331,0.0305,0.035,0.0302,0.0346
E9,0.7508,0.5015,0.0427,16.1044,-5.4211,1.2523,-32.0212,0.0418,0.0435,0.0418,0.0435
F9,0.7602,0.4499,0.0376,16.174,-5.5278,1.2101,-39.1123,0.0368,0.0384,0.0368,0.0383
G9,0.754,0.426,0.0402,15.9307,-5.4119,1.18,-35.3252,0.0393,0.0412,0.0393,0.0412
B10,0.7679,0.6676,0.1085,16.3541,-3.9535,1.4355,-3.1859,0.1001,0.1182,0.0996,0.1174
C10,0.7742,0.6416,0.0747,16.4215,-4.3618,1.4158,-12.0699,0.071,0.079,0.0707,0.0786
D10,0.7729,0.6859,0.0747,16.5154,-4.3306,1.4587,-11.9232,0.0712,0.0788,0.0709,0.0784
E10,0.7674,0.6839,0.0466,16.5274,-5.4488,1.4512,-28.5252,0.0453,0.0482,0.0452,0.048
F10,0.7609,0.5833,0.0575,16.2379,-4.7062,1.3442,-20.0464,0.0555,0.0598,0.0554,0.0596
G10,0.7698,0.6263,0.0593,16.363,-4.7969,1.3961,-19.2101,0.0576,0.0612,0.0575,0.0611
B11,0.7825,0.4014,0.0799,11.4955,-4.0109,1.1839,-15.4339,0.0719,0.0892,0.0714,0.0884
C11,0.7862,0.3533,0.0667,9.533,-4.0186,1.1395,-22.8234,0.0599,0.0745,0.0595,0.0738
D11,0.7893,0.5606,0.1011,11.1294,-3.8992,1.3499,-10.3813,0.0922,0.1114,0.0917,0.1106
E11,0.7927,0.4513,0.0797,10.098,-3.9853,1.244,-17.2275,0.0728,0.0876,0.0725,0.087
F11,0.7804,0.3522,0.0738,11.6312,-4.0665,1.1326,-17.4175,0.0661,0.0828,0.0656,0.082
G11,0.7868,0.279,0.0549,11.4028,-4.2627,1.0658,-27.8644,0.0494,0.0613,0.049,0.0607
