Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.8089,0.8717,0.1663,7.8475,-3.4104,1.6805,-5.6736,0.1535,0.1807,0.1529,0.1798
C4,0.8169,0.8129,0.178,8.9891,-3.1541,1.6298,-3.7866,0.1579,0.202,0.1563,0.1997
D4,0.7871,0.8048,0.1251,7.309,-3.4018,1.5919,-10.0914,0.1156,0.1359,0.1151,0.1351
E4,0.7899,0.8717,0.1077,7.1215,-3.3097,1.6617,-13.1123,0.1,0.1164,0.0996,0.1158
F4,0.7967,0.8394,0.1234,7.2049,-3.4511,1.636,-10.6434,0.1149,0.1329,0.1146,0.1323
G4,0.8086,0.8491,0.146,6.986,-3.5102,1.6577,-8.3689,0.1361,0.1571,0.1357,0.1563
B5,0.8055,0.7958,0.1616,6.9386,-3.2907,1.6013,-6.9145,0.1469,0.1785,0.146,0.1771
C5,0.7878,0.937,0.1224,6.1213,-3.4049,1.7248,-11.6793,0.1122,0.1343,0.1116,0.1332
D5,0.7979,0.7628,0.1328,6.8925,-3.1314,1.5607,-9.7437,0.119,0.1492,0.1179,0.1476
E5,0.7951,0.7707,0.1255,6.7997,-3.17,1.5658,-10.7255,0.1135,0.1396,0.1126,0.1383
F5,0.7964,0.7488,0.1377,6.5176,-3.2687,1.5452,-9.5098,0.1249,0.1526,0.124,0.1513
G5,0.797,0.7626,0.1591,6.5482,-3.3019,1.5597,-7.3661,0.1446,0.1761,0.1437,0.1746
B6,0.7893,0.9596,0.1254,6.7581,-3.4917,1.7488,-10.6527,0.1165,0.1354,0.1161,0.1347
C6,0.7757,1.0052,0.1152,6.528,-3.6138,1.7809,-12.0803,0.1081,0.1231,0.1078,0.1225
D6,0.7775,0.9839,0.0989,6.4432,-3.468,1.7614,-15.2182,0.0923,0.1065,0.092,0.1059
E6,0.7751,1.0328,0.0983,6.5302,-3.4907,1.8079,-15.2057,0.0921,0.1054,0.0917,0.1048
F6,0.7929,1.0047,0.1227,6.7314,-3.525,1.7976,-11.1406,0.1142,0.1324,0.1137,0.1316
G6,0.7836,0.9742,0.1293,6.5017,-3.6655,1.7578,-10.2674,0.1213,0.1384,0.1209,0.1378
B7,0.7836,0.8596,0.1421,8.866,-3.4111,1.6432,-6.4261,0.1315,0.154,0.131,0.1531
C7,0.7838,0.8292,0.1365,8.9143,-3.381,1.613,-6.9912,0.1258,0.1487,0.1253,0.1478
D7,0.7765,0.8256,0.126,8.1238,-3.4463,1.6021,-8.9258,0.1173,0.1357,0.1169,0.1351
E7,0.7791,0.8467,0.138,9.0826,-3.4373,1.6258,-6.5627,0.1281,0.1491,0.1277,0.1483
F7,0.7842,0.8599,0.1218,8.4738,-3.5676,1.644,-9.3246,0.1145,0.1298,0.1143,0.1293
G7,0.7752,0.8725,0.1166,7.8154,-4.0244,1.6476,-10.5572,0.1123,0.1212,0.1122,0.121
