Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7784,0.3217,0.0778,12.4104,-4.0451,1.1002,-15.0867,0.0693,0.088,0.0686,0.087
C8,0.7751,0.3562,0.092,12.812,-3.8691,1.1313,-10.3887,0.0809,0.1055,0.0799,0.1041
D8,0.7912,0.4565,0.0888,11.9342,-3.9262,1.2477,-12.5765,0.08,0.0991,0.0794,0.0983
E8,0.7638,0.4155,0.0839,12.5808,-3.9513,1.1794,-12.4529,0.0749,0.0945,0.0743,0.0936
F8,0.7718,0.4525,0.0898,12.1102,-3.9363,1.2243,-11.552,0.0807,0.1004,0.0801,0.0995
G8,0.7729,0.4083,0.0879,12.3172,-3.9309,1.1813,-11.8795,0.0781,0.0995,0.0774,0.0984
B9,0.7749,0.3064,0.0458,16.1761,-4.0562,1.0813,-30.1364,0.0416,0.0506,0.0413,0.0502
C9,0.7674,0.3011,0.0447,16.7174,-4.0416,1.0685,-30.1992,0.0406,0.0495,0.0404,0.0491
D9,0.7694,0.3124,0.045,16.6986,-4.0232,1.0818,-30.0726,0.0409,0.0498,0.0406,0.0494
E9,0.7625,0.2452,0.0383,17.1473,-4.1211,1.0077,-37.1977,0.0346,0.0428,0.0343,0.0424
F9,0.765,0.2801,0.0458,16.9161,-4.0021,1.0451,-28.8007,0.0413,0.0511,0.041,0.0506
G9,0.7686,0.2154,0.034,16.6387,-4.3455,0.984,-45.1287,0.0309,0.0375,0.0307,0.0372
B10,0.7767,0.204,0.0462,9.0791,-4.1597,0.9807,-36.9302,0.0405,0.0532,0.0399,0.0524
C10,0.7752,0.2294,0.05,9.684,-4.1875,1.0047,-32.7444,0.0444,0.0568,0.0439,0.0561
D10,0.767,0.2665,0.0606,9.8847,-3.9484,1.0335,-24.8396,0.0526,0.0706,0.0517,0.0694
E10,0.7701,0.2682,0.0585,10.1339,-3.959,1.0383,-25.9378,0.0509,0.0679,0.0502,0.0669
F10,0.7769,0.3356,0.077,9.4839,-3.8315,1.1126,-18.2567,0.0677,0.0883,0.0668,0.0871
G10,0.7699,0.32,0.0567,9.0952,-4.0267,1.09,-28.1461,0.0496,0.0653,0.049,0.0644
B11,0.7733,0.3652,0.0669,12.7022,-4.0593,1.1385,-19.03,0.0601,0.0748,0.0596,0.0741
C11,0.7694,0.1995,0.0472,11.8088,-4.0362,0.9689,-32.7569,0.0406,0.0558,0.0398,0.0547
D11,0.7726,0.4247,0.1108,13.0242,-3.9712,1.1973,-6.2338,0.1012,0.1218,0.1006,0.121
E11,0.7655,0.2517,0.0562,11.3516,-4.0583,1.0172,-25.9534,0.0492,0.0648,0.0486,0.0639
F11,0.7657,0.4225,0.0781,12.5436,-3.9636,1.1881,-14.3894,0.0704,0.0872,0.0699,0.0864
G11,0.7604,0.2466,0.0562,13.3271,-4.3481,1.007,-23.755,0.051,0.0623,0.0506,0.0618
