Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7412,0.873,0.0865,2.7846,-2.8941,1.6142,-20.8189,0.0759,0.0996,0.0748,0.0981
C4,0.7684,0.735,0.084,4.2281,-3.2219,1.5033,-20.9274,0.0755,0.0943,0.0748,0.0933
D4,0.7982,0.7494,0.1693,4.8199,-2.9735,1.5475,-8.299,0.1461,0.1983,0.1437,0.1948
E4,0.8021,0.7589,0.1532,5.0116,-2.8901,1.5609,-9.52,0.1302,0.1828,0.1276,0.1788
F4,0.7902,0.7796,0.1493,4.979,-2.9521,1.5698,-9.7035,0.1289,0.1751,0.1268,0.1719
G4,0.7809,0.8143,0.1446,4.9362,-3.0945,1.5951,-10.0433,0.1275,0.1656,0.1259,0.1632
B5,0.7856,0.8041,0.2192,6.3988,-3.1878,1.5897,-3.6437,0.1955,0.2474,0.1937,0.2447
C5,0.7823,0.7457,0.184,6.3821,-3.3994,1.528,-5.4748,0.1673,0.2033,0.1663,0.2018
D5,0.7776,0.7566,0.1321,5.2008,-3.5721,1.5342,-11.1015,0.1234,0.1417,0.123,0.1411
E5,0.7629,0.7871,0.1263,5.5089,-3.7347,1.55,-11.2119,0.1195,0.1336,0.1193,0.1332
F5,0.7775,0.7687,0.1799,5.7837,-3.3489,1.5462,-6.2612,0.1637,0.1988,0.1627,0.1972
G5,0.763,0.8203,0.123,5.6002,-3.5807,1.5833,-11.5625,0.1157,0.131,0.1154,0.1306
B6,0.818,0.8444,0.2124,5.3663,-3.1711,1.6625,-5.4003,0.1912,0.2375,0.1896,0.2353
C6,0.8112,0.7915,0.1739,5.0626,-3.1559,1.6027,-7.9149,0.1566,0.1946,0.1553,0.1926
D6,0.8033,0.7981,0.1633,5.3867,-3.3512,1.6014,-8.2834,0.1494,0.1794,0.1486,0.1781
E6,0.7816,0.8348,0.1313,4.8941,-3.4603,1.6164,-11.5923,0.1228,0.1406,0.1225,0.1401
F6,0.8047,0.8323,0.1585,5.4845,-3.2037,1.6371,-8.6187,0.1442,0.1752,0.1433,0.1737
G6,0.8029,0.837,0.1751,5.5647,-3.2713,1.6398,-7.1976,0.1592,0.1937,0.1581,0.1921
B7,0.8053,0.8257,0.1069,5.0937,-3.5321,1.631,-15.6905,0.098,0.1172,0.0975,0.1163
C7,0.7958,0.8668,0.1116,4.8087,-3.768,1.6627,-14.8788,0.1048,0.1191,0.1046,0.1186
D7,0.7858,0.8427,0.1137,5.1201,-3.6145,1.6284,-13.9715,0.1053,0.1232,0.1049,0.1224
E7,0.7832,0.848,0.1388,5.7868,-3.7077,1.6312,-9.8551,0.1293,0.1494,0.1289,0.1486
F7,0.7841,0.8479,0.1367,5.8674,-3.6895,1.632,-10.0199,0.127,0.1477,0.1266,0.1468
G7,0.7826,0.7438,0.1128,6.4165,-3.7978,1.5265,-12.746,0.1049,0.1216,0.1046,0.121
