Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.8049,0.3692,0.0859,10.1586,-4.1863,1.1742,-15.5987,0.0783,0.0947,0.0779,0.094
C8,0.7927,0.3537,0.0821,9.6045,-4.1161,1.1464,-16.9468,0.0743,0.0912,0.0738,0.0904
D8,0.7962,0.3242,0.0621,9.7916,-4.251,1.1204,-25.3601,0.0565,0.0686,0.0562,0.068
E8,0.8031,0.4319,0.1026,9.8067,-3.9297,1.235,-11.7757,0.093,0.1136,0.0925,0.1127
F8,0.809,0.34,0.0907,10.1912,-3.9469,1.149,-14.3638,0.0799,0.1036,0.079,0.1023
G8,0.7991,0.4239,0.1162,8.6683,-3.8048,1.223,-10.3287,0.1034,0.1314,0.1024,0.1299
B9,0.6808,0.2802,0.0482,10.154,-4.3909,0.961,-28.531,0.0444,0.0525,0.0442,0.0522
C9,0.7908,0.312,0.051,10.3899,-4.2718,1.1028,-32.0621,0.047,0.0556,0.0468,0.0552
D9,0.6799,0.2788,0.0501,9.9802,-4.3038,0.9588,-27.1759,0.0458,0.0551,0.0456,0.0547
E9,0.7005,0.2999,0.0595,9.8063,-4.1346,1.0005,-22.4802,0.0538,0.0662,0.0535,0.0656
