Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7782,0.4482,0.0944,10.1286,-4.164,1.2264,-12.5865,0.0873,0.1023,0.087,0.1017
C8,0.7865,0.4475,0.1037,9.8469,-4.0408,1.2341,-11.0608,0.095,0.1137,0.0946,0.1129
D8,0.8053,0.4561,0.1051,9.8868,-4.0516,1.2614,-11.2377,0.0967,0.1147,0.0962,0.114
E8,0.7701,0.4697,0.1137,9.845,-3.9148,1.2398,-8.8601,0.1033,0.1257,0.1027,0.1247
F8,0.7717,0.4545,0.1147,9.8988,-4.0449,1.2262,-8.6835,0.1052,0.1256,0.1047,0.1248
G8,0.7748,0.4583,0.1111,9.8565,-3.9247,1.2331,-9.4012,0.1003,0.1237,0.0996,0.1226
B9,0.7661,0.3155,0.0455,11.99,-4.6753,1.0816,-34.0945,0.043,0.0481,0.043,0.048
C9,0.7582,0.3095,0.0404,12.1677,-4.6566,1.0677,-39.1108,0.0382,0.0428,0.0382,0.0427
D9,0.7608,0.3033,0.0262,13.1665,-5.078,1.0642,-66.162,0.0252,0.0272,0.0251,0.0272
E9,0.7423,0.3074,0.0358,12.3335,-4.9083,1.0497,-44.2977,0.0343,0.0375,0.0343,0.0374
F9,0.7522,0.3958,0.0346,13.891,-4.873,1.148,-45.5249,0.0333,0.036,0.0332,0.0359
G9,0.7606,0.2939,0.0424,12.0596,-4.7691,1.0545,-36.9661,0.0402,0.0449,0.0401,0.0447
B10,0.767,0.4173,0.0891,10.9414,-4.0008,1.1843,-12.7543,0.0795,0.1005,0.0789,0.0994
C10,0.7721,0.4803,0.0965,10.8968,-3.9734,1.2524,-11.1443,0.0868,0.1079,0.0862,0.1069
D10,0.7631,0.3404,0.0754,11.7239,-4.0616,1.1036,-16.0932,0.067,0.0854,0.0663,0.0844
E10,0.7551,0.4976,0.1053,10.6896,-3.9285,1.2527,-9.1032,0.0949,0.1173,0.0943,0.1163
F10,0.7546,0.5095,0.1087,10.8139,-3.9459,1.2641,-8.3539,0.0983,0.1208,0.0977,0.1197
G10,0.7569,0.5831,0.1155,10.1566,-3.8967,1.34,-7.9617,0.1053,0.1272,0.1047,0.1263
B11,0.7653,0.3854,0.077,10.5102,-4.0143,1.1507,-16.8105,0.0692,0.0861,0.0687,0.0853
C11,0.7614,0.369,0.0788,10.2157,-4.0196,1.1304,-16.3344,0.0705,0.0887,0.0699,0.0878
D11,0.763,0.3938,0.077,9.297,-4.0142,1.1568,-17.9529,0.0693,0.0859,0.0688,0.0851
E11,0.7523,0.4413,0.0884,10.7704,-4.0443,1.1936,-12.6597,0.0802,0.0978,0.0798,0.097
F11,0.7548,0.4475,0.0882,10.621,-4.0361,1.2023,-12.9281,0.0801,0.0977,0.0796,0.0969
G11,0.7606,0.3347,0.062,10.4632,-4.0779,1.0953,-23.203,0.0555,0.0696,0.055,0.0689
