Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7874,0.4603,0.0892,10.768,-3.9556,1.2477,-13.5299,0.0816,0.0979,0.0812,0.0972
C8,0.7994,0.4428,0.0953,9.7042,-4.3183,1.2423,-13.401,0.089,0.1023,0.0887,0.1019
D8,0.7827,0.4312,0.0741,10.7628,-4.34,1.2139,-18.2565,0.0697,0.0789,0.0695,0.0787
E8,0.7753,0.3677,0.0506,10.5042,-4.2354,1.143,-31.4614,0.0469,0.0548,0.0467,0.0545
F8,0.7783,0.3393,0.0319,9.0844,-4.2662,1.1176,-57.5889,0.0297,0.0343,0.0296,0.0342
G8,0.7833,0.4284,0.0531,9.0136,-4.3144,1.2117,-31.388,0.0501,0.0564,0.05,0.0562
B9,0.7618,0.2571,0.0375,11.2239,-4.6908,1.0189,-44.3563,0.0352,0.04,0.0351,0.0399
C9,0.7825,0.3052,0.0551,9.9095,-4.3851,1.0876,-28.9656,0.0512,0.0596,0.051,0.0593
D9,0.7961,0.377,0.0792,8.5966,-4.1261,1.1731,-19.0286,0.0723,0.0872,0.0718,0.0865
E9,0.7567,0.3521,0.0626,10.3407,-4.4995,1.1087,-22.8189,0.059,0.0666,0.0589,0.0663
F9,0.767,0.3181,0.0562,9.6707,-4.5943,1.0851,-27.7347,0.053,0.0597,0.0528,0.0595
G9,0.7884,0.3844,0.074,9.1881,-4.4242,1.1728,-20.0799,0.0697,0.0786,0.0696,0.0784
B11,0.7869,0.2785,0.0579,12.302,-4.0992,1.0654,-24.9426,0.0513,0.0658,0.0508,0.065
C11,0.78,0.2594,0.052,12.5646,-4.1371,1.0394,-28.546,0.0461,0.0589,0.0456,0.0583
D11,0.7802,0.2948,0.0622,12.5345,-4.0913,1.075,-21.8456,0.0553,0.0705,0.0547,0.0697
E11,0.7739,0.2532,0.0541,11.8365,-4.1253,1.0271,-27.3292,0.0477,0.0619,0.0472,0.0611
F11,0.7864,0.3577,0.0771,11.8223,-4.0312,1.1441,-16.2195,0.0686,0.0871,0.0679,0.0862
G11,0.7941,0.4309,0.0939,11.2772,-3.9624,1.225,-12.0012,0.0843,0.1052,0.0836,0.1042
