Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7742,0.4062,0.0833,8.5366,-4.0824,1.1804,-17.0157,0.0765,0.0912,0.0761,0.0906
C8,0.769,0.4408,0.0849,8.605,-3.9719,1.2098,-16.3038,0.0777,0.0932,0.0773,0.0926
D8,0.7705,0.4367,0.0831,8.4877,-3.8903,1.2072,-17.014,0.0753,0.0922,0.0748,0.0914
E8,0.7612,0.361,0.0734,9.3401,-4.1163,1.1223,-19.1435,0.0668,0.081,0.0664,0.0804
F8,0.7686,0.4065,0.0744,9.0622,-4.158,1.1751,-19.3221,0.0688,0.0806,0.0686,0.0802
G8,0.7716,0.4106,0.0648,8.0136,-4.2832,1.1822,-24.6512,0.0607,0.0693,0.0606,0.069
B9,0.7567,0.404,0.0626,9.7103,-4.2162,1.1607,-23.4651,0.0577,0.0681,0.0575,0.0677
C9,0.7579,0.4484,0.0662,9.853,-4.1225,1.2063,-21.5558,0.0614,0.0717,0.0612,0.0713
D9,0.7601,0.4456,0.0613,10.0436,-4.2256,1.2057,-23.9586,0.0571,0.0659,0.057,0.0656
E9,0.7539,0.2975,0.046,10.9424,-4.1518,1.0514,-33.9331,0.0414,0.0513,0.0411,0.0509
F9,0.7598,0.2686,0.0347,11.3342,-4.3484,1.0285,-48.5154,0.0316,0.0383,0.0314,0.038
G9,0.7715,0.3819,0.0557,10.7482,-4.1551,1.1534,-27.1786,0.0512,0.0608,0.051,0.0605
B10,0.7687,0.3856,0.0514,8.5284,-4.4879,1.1543,-32.3977,0.0487,0.0544,0.0486,0.0543
C10,0.7658,0.4042,0.0646,9.5011,-4.2424,1.17,-23.0242,0.0601,0.0696,0.0599,0.0693
D10,0.7595,0.3968,0.069,9.8966,-4.1314,1.1564,-20.3247,0.0634,0.0754,0.0631,0.0749
E10,0.7457,0.5671,0.0261,9.4525,-4.4847,1.3128,-68.4862,0.0253,0.027,0.0253,0.0269
F10,0.7599,0.4107,0.0493,9.8401,-4.4235,1.1706,-32.3855,0.0465,0.0523,0.0464,0.0521
G10,0.768,0.4003,0.0552,9.6517,-4.6602,1.1683,-28.4632,0.0527,0.0579,0.0526,0.0578
B11,0.7755,0.3762,0.0794,9.9828,-4.0287,1.1517,-16.86,0.0709,0.0894,0.0704,0.0885
C11,0.7698,0.3883,0.0782,10.0415,-4.0419,1.1581,-17.0101,0.0702,0.0876,0.0697,0.0868
D11,0.7719,0.3882,0.077,9.8484,-4.0364,1.1601,-17.7067,0.0691,0.0861,0.0686,0.0853
E11,0.7681,0.3698,0.0761,9.7918,-4.0509,1.1379,-17.9417,0.068,0.0857,0.0674,0.0848
F11,0.7806,0.3992,0.0821,9.9388,-3.9807,1.1798,-16.1927,0.0734,0.0924,0.0729,0.0914
G11,0.7774,0.3634,0.0764,9.8556,-4.0498,1.1408,-18.1212,0.0682,0.086,0.0676,0.0851
