Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7795,0.9307,0.1215,20.9013,-3.8049,1.7102,3.1585,0.1147,0.129,0.1144,0.1286
C8,0.7734,0.9158,0.1142,21.559,-3.7251,1.6892,2.8528,0.1073,0.1219,0.107,0.1214
D8,0.7714,0.9536,0.1353,21.5326,-3.65,1.725,5.7327,0.1262,0.1455,0.1257,0.1448
E8,0.7779,0.9562,0.1461,21.4352,-3.5404,1.734,6.6616,0.1347,0.1591,0.134,0.1582
F8,0.7754,0.9195,0.1067,20.1131,-3.6209,1.6949,0.0649,0.1002,0.114,0.0999,0.1136
G8,0.7805,0.9337,0.144,20.8701,-3.6752,1.7142,5.8393,0.1345,0.1546,0.1341,0.154
B9,0.7931,0.6675,0.1443,13.284,-3.057,1.4607,-1.9553,0.126,0.1668,0.1242,0.1644
C9,0.7884,0.7198,0.1604,14.2544,-3.0676,1.5082,0.5897,0.1413,0.1834,0.1396,0.1811
D9,0.7941,0.8102,0.1832,13.1941,-2.8196,1.6043,1.1086,0.1592,0.2127,0.1569,0.2095
E9,0.7801,0.7695,0.189,14.7231,-2.9411,1.5496,3.2044,0.1651,0.2184,0.1629,0.2152
F9,0.7854,0.7518,0.1211,12.5064,-2.82,1.5372,-5.4294,0.1033,0.143,0.1015,0.1406
G9,0.7771,0.7619,0.1072,11.6711,-3.1097,1.539,-8.3335,0.0965,0.1197,0.0957,0.1187
B10,0.7817,0.3887,0.1073,15.6855,-3.6408,1.1704,-4.4214,0.0917,0.1271,0.09,0.1246
C10,0.7792,0.5117,0.074,15.3202,-4.0403,1.2909,-13.6123,0.0672,0.0823,0.0666,0.0814
D10,0.7778,0.3841,0.0715,15.7231,-3.935,1.1619,-14.141,0.0641,0.0804,0.0634,0.0796
E10,0.7882,0.3671,0.0834,15.7728,-3.8793,1.1553,-10.2323,0.0737,0.095,0.0728,0.0939
F10,0.7786,0.5464,0.1029,15.8647,-3.8453,1.3249,-5.0055,0.0919,0.1161,0.091,0.1148
G10,0.7825,0.4159,0.1041,15.9754,-3.7249,1.1984,-4.764,0.0908,0.1203,0.0896,0.1186
B11,0.7817,0.3776,0.0769,13.7296,-4.1288,1.1593,-14.197,0.0694,0.0857,0.0689,0.0849
C11,0.7817,0.368,0.0732,13.3395,-4.1659,1.1498,-15.9715,0.0662,0.0814,0.0658,0.0807
D11,0.779,0.3615,0.0718,13.5607,-4.1312,1.1405,-16.2282,0.0646,0.0802,0.0642,0.0795
E11,0.7785,0.4392,0.0869,13.8241,-4.107,1.2178,-10.8262,0.0789,0.0961,0.0784,0.0954
F11,0.7827,0.3755,0.0772,13.6082,-4.1641,1.1582,-14.2356,0.0697,0.086,0.0692,0.0853
G11,0.7865,0.3788,0.077,13.6008,-4.1273,1.1653,-14.4544,0.0695,0.0857,0.0691,0.085
