Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7558,0.2518,0.051,14.2286,-4.3485,1.0076,-26.3696,0.0455,0.0574,0.0451,0.0568
C8,0.7595,0.3063,0.0653,14.0798,-4.0915,1.0658,-17.8229,0.0581,0.0739,0.0575,0.0731
D8,0.7582,0.2963,0.0616,13.6578,-4.1648,1.0545,-20.0792,0.0551,0.0693,0.0546,0.0686
E8,0.7529,0.2403,0.0436,14.0124,-4.5055,0.9932,-33.1764,0.0395,0.0484,0.0392,0.0481
F8,0.758,0.3215,0.0628,13.944,-4.1662,1.0796,-19.178,0.0566,0.0699,0.0562,0.0693
G8,0.7618,0.3728,0.08,13.47,-3.9604,1.1346,-12.7054,0.0719,0.0895,0.0713,0.0887
B9,0.763,0.3308,0.0635,13.9598,-4.0227,1.0937,-18.9994,0.0566,0.0717,0.0561,0.0709
C9,0.7587,0.3046,0.056,14.1494,-4.1825,1.0632,-22.9826,0.0503,0.0626,0.0499,0.0621
D9,0.7622,0.364,0.0597,13.4708,-4.1591,1.1262,-21.5628,0.0545,0.0655,0.0543,0.065
E9,0.7567,0.2772,0.0476,14.4875,-4.3907,1.034,-28.9852,0.0431,0.0529,0.0428,0.0525
F9,0.7517,0.2797,0.0375,14.8676,-4.5477,1.0313,-39.9764,0.0344,0.041,0.0342,0.0407
G9,0.7627,0.3882,0.065,14.0067,-4.281,1.1509,-18.1998,0.0603,0.0702,0.0601,0.0699
B10,0.7632,0.3418,0.0692,13.2722,-4.0521,1.105,-17.0238,0.0616,0.0781,0.061,0.0773
C10,0.7614,0.3322,0.0683,13.1379,-4.0525,1.0936,-17.4438,0.0609,0.0772,0.0603,0.0764
D10,0.7596,0.2872,0.0586,13.9005,-4.1929,1.0468,-21.65,0.0523,0.066,0.0518,0.0653
E10,0.7573,0.3123,0.0674,13.3924,-4.0572,1.0696,-17.45,0.0599,0.0763,0.0593,0.0755
F10,0.7626,0.3084,0.0672,13.4361,-4.0671,1.071,-17.7093,0.0597,0.0762,0.0591,0.0753
G10,0.7651,0.3735,0.0706,12.8156,-3.9823,1.1386,-16.9232,0.0632,0.0793,0.0627,0.0785
B11,0.7591,0.3391,0.0732,12.9071,-4.0132,1.0982,-15.5892,0.065,0.0829,0.0644,0.082
C11,0.7618,0.277,0.0625,12.9144,-4.1346,1.0389,-20.5286,0.0553,0.0711,0.0547,0.0702
D11,0.77,0.3034,0.0708,12.4899,-4.0446,1.0734,-17.3795,0.0624,0.0809,0.0617,0.0799
E11,0.7595,0.2938,0.0696,12.8981,-4.0589,1.0533,-17.0735,0.0614,0.0794,0.0607,0.0784
F11,0.7616,0.2804,0.061,13.0941,-4.1315,1.0421,-21.13,0.054,0.0694,0.0535,0.0686
G11,0.7648,0.3026,0.0692,13.1146,-4.0495,1.0674,-17.2488,0.0612,0.0788,0.0605,0.0778
