Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7541,0.4473,0.0711,12.6613,-4.3355,1.2014,-16.4851,0.0671,0.0753,0.067,0.0751
C8,0.7593,0.4568,0.0946,13.2279,-3.9647,1.2161,-8.8774,0.0866,0.1038,0.0862,0.1031
D8,0.754,0.4279,0.0672,14.0246,-4.1687,1.1819,-16.7833,0.0624,0.0725,0.0622,0.0722
E8,0.7571,0.4283,0.0831,14.2898,-4.1671,1.1853,-10.786,0.0768,0.0902,0.0764,0.0897
F8,0.7544,0.4463,0.0801,13.8366,-4.2206,1.2007,-12.0496,0.0748,0.086,0.0746,0.0857
G8,0.7569,0.4147,0.0535,12.4807,-4.3369,1.1716,-26.2647,0.0505,0.0569,0.0504,0.0567
B9,0.7464,0.3156,0.0511,16.1189,-4.1504,1.062,-23.888,0.047,0.0557,0.0468,0.0554
C9,0.7363,0.2673,0.0415,16.4584,-4.1671,1.0036,-32.0593,0.0379,0.0457,0.0377,0.0453
D9,0.7165,0.2522,0.036,16.4387,-4.4014,0.9687,-37.9538,0.0334,0.0389,0.0333,0.0387
E9,0.7005,0.2237,0.0328,16.7194,-4.3659,0.9242,-41.6454,0.0301,0.0359,0.0299,0.0357
F9,0.6842,0.253,0.0395,15.7448,-4.6028,0.9372,-31.5965,0.0371,0.0423,0.0369,0.0421
G9,0.731,0.2578,0.041,16.0319,-4.2264,0.9888,-32.7854,0.0374,0.0451,0.0372,0.0447
B10,0.7429,0.4128,0.0726,14.5638,-4.0471,1.1557,-13.5693,0.0652,0.0812,0.0647,0.0804
C10,0.7396,0.221,0.0384,14.3474,-4.6376,0.9606,-38.2804,0.0355,0.0417,0.0353,0.0415
D10,0.736,0.2406,0.0397,14.4433,-4.4639,0.9766,-36.2514,0.0362,0.0437,0.036,0.0434
E10,0.7333,0.2394,0.0528,14.9577,-4.2638,0.9727,-23.0608,0.0473,0.0594,0.0469,0.0588
F10,0.7366,0.2446,0.0537,14.9004,-4.2498,0.9812,-22.6908,0.0482,0.0603,0.0477,0.0597
G10,0.7405,0.4384,0.0864,14.8931,-3.9746,1.179,-8.7139,0.0774,0.0969,0.0768,0.096
B11,0.7653,0.1539,0.027,12.5234,-4.8078,0.9192,-64.8796,0.0248,0.0295,0.0246,0.0293
C11,0.7631,0.1552,0.0294,12.3292,-4.5925,0.9184,-58.554,0.0265,0.0328,0.0263,0.0325
D11,0.7645,0.1596,0.0267,12.0108,-4.7235,0.9241,-66.008,0.0245,0.0293,0.0244,0.0291
E11,0.7516,0.1402,0.0194,12.2699,-5.7099,0.8918,-93.1488,0.0187,0.0202,0.0187,0.0202
F11,0.757,0.1622,0.0292,13.2763,-4.5999,0.9192,-57.5653,0.0264,0.0324,0.0262,0.0321
G11,0.7661,0.3139,0.0657,13.0346,-4.1517,1.08,-18.9602,0.0588,0.0737,0.0584,0.073
