Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7284,0.7525,0.1235,5.9663,-3.1352,1.4809,-10.3727,0.1096,0.1402,0.1084,0.1385
C4,0.698,0.8065,0.0817,5.0943,-3.1405,1.5045,-18.4216,0.0741,0.0907,0.0735,0.0899
D4,0.7111,0.7483,0.1022,5.4432,-3.0847,1.4594,-13.7693,0.0899,0.1176,0.0887,0.1158
E4,0.7149,0.743,0.1061,5.7447,-3.1287,1.4578,-12.8689,0.0936,0.1215,0.0924,0.1198
F4,0.69,0.7763,0.0747,5.405,-3.3111,1.4662,-20.0011,0.0688,0.0814,0.0685,0.0809
G4,0.7256,0.7208,0.1157,6.4083,-3.4325,1.4464,-10.9434,0.106,0.1268,0.1054,0.1259
B5,0.7946,0.8539,0.1734,6.6514,-2.7392,1.6485,-6.1046,0.1457,0.2094,0.1423,0.2045
C5,0.7751,0.8318,0.1511,6.6026,-3.1518,1.6069,-7.6418,0.1358,0.169,0.1347,0.1674
D5,0.7612,0.8683,0.1093,6.7897,-3.358,1.6295,-12.4401,0.1015,0.1181,0.1011,0.1175
E5,0.8216,0.8256,0.1164,6.1988,-3.2347,1.6472,-13.2859,0.1064,0.128,0.1058,0.127
F5,0.7864,0.8371,0.1457,6.7248,-3.0583,1.6235,-8.2426,0.1296,0.1651,0.1283,0.1632
G5,0.8003,0.8065,0.1918,7.335,-2.8411,1.6068,-4.3068,0.1629,0.2286,0.1597,0.2239
B6,0.8043,0.8618,0.1352,5.3233,-3.3536,1.6661,-11.1426,0.1258,0.1459,0.1253,0.1452
C6,0.7958,0.7756,0.1923,6.5713,-3.312,1.5714,-4.9797,0.1737,0.2142,0.1723,0.2122
D6,0.7881,0.8086,0.155,6.0211,-3.5582,1.5967,-8.0984,0.1451,0.166,0.1447,0.1654
E6,0.7738,0.7918,0.1565,6.2541,-3.6289,1.5656,-7.4877,0.1464,0.1677,0.1459,0.167
F6,0.773,0.8008,0.1671,6.2461,-3.5674,1.5738,-6.6282,0.1559,0.1796,0.1554,0.1788
G6,0.7908,0.8,0.1642,5.65,-3.7162,1.5908,-7.7439,0.1548,0.1745,0.1544,0.1739
B7,0.7916,0.7284,0.1293,6.2671,-3.7599,1.52,-10.6811,0.1203,0.1393,0.1199,0.1386
C7,0.7989,0.6398,0.1586,6.7127,-3.4645,1.4387,-7.2825,0.1439,0.1757,0.1429,0.1742
D7,0.795,0.6648,0.1438,6.3602,-3.6379,1.4598,-8.9688,0.1332,0.1558,0.1326,0.155
E7,0.8017,0.9453,0.1246,5.0977,-3.6653,1.747,-12.6957,0.1165,0.1338,0.1161,0.1331
F7,0.799,0.9077,0.1277,5.1399,-3.5085,1.7066,-12.1736,0.1177,0.1392,0.1172,0.1382
G7,0.7975,0.7343,0.1522,6.2994,-3.5924,1.5318,-8.242,0.1394,0.1668,0.1388,0.1656
