Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7568,0.5271,0.0838,12.7735,-4.2542,1.2839,-12.0709,0.0779,0.0906,0.0776,0.0901
C8,0.7603,0.4928,0.0719,12.7571,-4.3853,1.2531,-16.2684,0.0672,0.0774,0.0669,0.077
D8,0.7599,0.5074,0.0702,12.8188,-4.4431,1.2673,-16.8893,0.066,0.0751,0.0657,0.0747
E8,0.7622,0.4896,0.0688,12.8504,-4.4604,1.2518,-17.5527,0.0646,0.0737,0.0643,0.0733
F8,0.7603,0.5954,0.0753,13.1301,-4.4656,1.3557,-14.6,0.0716,0.0796,0.0714,0.0793
G8,0.7681,0.5223,0.0788,12.9733,-4.4163,1.2904,-13.8255,0.074,0.0843,0.0737,0.0839
B9,0.7638,0.4831,0.0757,12.8014,-4.3791,1.2468,-14.9222,0.0705,0.0816,0.0703,0.0812
C9,0.7581,0.5975,0.0674,13.4541,-4.6045,1.3555,-17.4,0.0647,0.0706,0.0645,0.0704
D9,0.766,0.4889,0.0649,12.8981,-4.5413,1.2549,-19.4772,0.0612,0.0692,0.061,0.0688
E9,0.7585,0.55,0.0594,13.2292,-4.7304,1.3085,-21.8017,0.0571,0.0619,0.057,0.0617
F9,0.7713,0.5965,0.0853,12.7751,-4.4431,1.3677,-12.0997,0.0809,0.0902,0.0807,0.0899
G9,0.7696,0.4927,0.0693,13.1604,-4.6277,1.2622,-17.3206,0.0657,0.0734,0.0655,0.0731
