Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7697,0.3285,0.0681,10.6651,-4.0212,1.0982,-20.3401,0.0603,0.0775,0.0597,0.0766
C8,0.7624,0.221,0.0376,11.0683,-4.5946,0.9834,-44.3816,0.0341,0.0416,0.0339,0.0413
D8,0.7651,0.245,0.0469,10.9758,-4.5136,1.0101,-33.6416,0.0426,0.0519,0.0424,0.0515
E8,0.7545,0.2181,0.034,11.7538,-4.6431,0.9727,-48.8435,0.0309,0.0376,0.0307,0.0373
F8,0.7677,0.2092,0.0382,11.4987,-4.6218,0.977,-43.4675,0.0345,0.0425,0.0342,0.0421
G8,0.7688,0.2509,0.0488,11.7093,-4.4347,1.0197,-31.4027,0.044,0.0544,0.0437,0.0539
B9,0.766,0.2276,0.0317,9.7469,-4.8403,0.9936,-56.203,0.0296,0.034,0.0296,0.0339
C9,0.7614,0.2504,0.0322,9.8321,-5.1251,1.0118,-54.7612,0.0307,0.0338,0.0306,0.0337
D9,0.77,0.2635,0.0358,9.4193,-5.0859,1.0335,-49.268,0.0342,0.0376,0.0342,0.0375
E9,0.7611,0.239,0.0308,10.3922,-5.0578,1.0001,-57.0299,0.0291,0.0327,0.0291,0.0326
F9,0.7672,0.2476,0.0302,10.804,-5.1555,1.0149,-58.647,0.0287,0.0317,0.0287,0.0317
G9,0.7701,0.3084,0.035,9.4095,-5.277,1.0785,-50.663,0.0339,0.0362,0.0339,0.0361
B10,0.77,0.4279,0.0852,13.7531,-3.9496,1.1979,-11.1183,0.0762,0.0958,0.0755,0.0948
C10,0.7713,0.434,0.0706,13.3861,-4.1046,1.2053,-16.5949,0.0645,0.0776,0.0642,0.0771
D10,0.7659,0.4124,0.0797,13.0572,-4.2095,1.1783,-13.3734,0.0731,0.0871,0.0728,0.0866
E10,0.7693,0.4373,0.0511,12.5386,-4.7205,1.2066,-28.694,0.0488,0.0535,0.0488,0.0534
F10,0.7654,0.4897,0.0434,13.0247,-4.9494,1.2551,-35.1908,0.0421,0.0449,0.042,0.0448
G10,0.7627,0.3968,0.0453,13.1796,-4.7982,1.1595,-32.865,0.0432,0.0476,0.0431,0.0475
B11,0.7656,0.2857,0.0607,11.3554,-4.0909,1.0513,-23.2194,0.0536,0.0692,0.0531,0.0684
C11,0.7705,0.2424,0.0557,11.0668,-4.2084,1.0129,-26.8494,0.0488,0.064,0.0482,0.0631
D11,0.77,0.2012,0.0391,8.9416,-4.5705,0.9712,-44.9164,0.0352,0.0436,0.0349,0.0432
E11,0.7702,0.2588,0.0582,10.994,-4.2717,1.029,-25.2597,0.0518,0.0659,0.0513,0.0652
F11,0.7673,0.2346,0.0433,11.9853,-4.3997,1.0018,-36.5085,0.0386,0.0488,0.0383,0.0483
G11,0.7711,0.2508,0.0536,12.2683,-4.2969,1.0219,-27.1047,0.0475,0.0609,0.0471,0.0602
