Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7849,0.8288,0.1453,7.2757,-3.6044,1.6137,-7.7055,0.1334,0.1589,0.1328,0.1578
C4,0.7899,0.6838,0.1786,7.2854,-3.2778,1.4736,-5.035,0.1595,0.2013,0.1581,0.1992
D4,0.7853,0.6226,0.1275,7.1994,-3.3405,1.4079,-9.8418,0.1136,0.1442,0.1125,0.1426
E4,0.7711,0.8854,0.1233,6.4275,-3.7749,1.6565,-10.8752,0.116,0.1314,0.1157,0.1308
F4,0.7834,0.6813,0.1619,7.0771,-3.3027,1.4647,-6.3766,0.1455,0.1812,0.1444,0.1794
G4,0.7899,0.8492,0.1498,6.6702,-3.5612,1.639,-7.9673,0.1371,0.1643,0.1364,0.1631
B5,0.785,0.677,0.1437,7.8695,-3.1868,1.462,-7.2813,0.1267,0.1643,0.1253,0.1621
C5,0.7711,0.6875,0.1188,7.3853,-3.0332,1.4586,-10.5547,0.1021,0.1399,0.1003,0.1373
D5,0.7749,0.737,0.1339,7.5332,-3.1597,1.512,-8.4931,0.1184,0.1528,0.117,0.1509
E5,0.778,0.7881,0.1327,6.2901,-3.3658,1.5661,-9.9496,0.1218,0.1451,0.1212,0.1441
F5,0.7655,0.7254,0.1021,6.863,-3.3867,1.4909,-13.825,0.093,0.1126,0.0924,0.1117
G5,0.7728,0.7779,0.1088,6.2806,-3.1423,1.5507,-13.3321,0.0976,0.1219,0.0968,0.1207
B6,0.7995,0.6997,0.1737,7.4154,-3.0721,1.4993,-5.3948,0.151,0.2019,0.1489,0.1986
C6,0.7918,0.7409,0.1169,6.3211,-3.2171,1.5326,-12.3837,0.1051,0.1311,0.1042,0.1297
D6,0.7838,0.8547,0.1455,6.342,-3.3087,1.6385,-8.5976,0.1347,0.1578,0.1341,0.1569
E6,0.7681,0.7877,0.1255,6.699,-3.3471,1.5558,-10.2339,0.1154,0.137,0.1149,0.1362
F6,0.7802,0.7609,0.1197,6.4978,-3.3075,1.541,-11.5139,0.1095,0.1315,0.1089,0.1306
G6,0.7853,0.7746,0.1406,6.0972,-3.2758,1.5599,-9.3906,0.1276,0.1555,0.1268,0.1543
B7,0.7689,0.559,0.1008,7.6466,-3.7384,1.3279,-13.3959,0.0914,0.1116,0.0909,0.1107
C7,0.7727,0.5974,0.1054,7.2445,-3.5694,1.3702,-12.9802,0.0958,0.1165,0.0952,0.1156
D7,0.7704,0.6311,0.115,7.6608,-3.5891,1.4015,-10.8538,0.1054,0.1259,0.1049,0.125
E7,0.7725,0.6406,0.1237,7.6747,-3.46,1.4132,-9.5998,0.1118,0.1376,0.111,0.1364
F7,0.7671,0.7179,0.0877,7.1458,-4.3061,1.4849,-16.9381,0.0847,0.0908,0.0847,0.0906
G7,0.776,0.6862,0.0954,7.4295,-4.3908,1.4622,-14.9857,0.0923,0.0986,0.0923,0.0985
