Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.8008,0.8697,0.1205,6.5278,-3.2929,1.6704,-11.837,0.1081,0.1355,0.1071,0.1339
C4,0.7808,0.9035,0.1065,5.9586,-3.5118,1.6843,-14.2618,0.0987,0.1156,0.0983,0.1148
D4,0.7872,0.8188,0.1214,6.2071,-3.5261,1.6059,-11.7199,0.1121,0.1319,0.1116,0.1312
E4,0.7762,0.7699,0.0983,5.564,-3.7473,1.5461,-16.2033,0.0922,0.105,0.0919,0.1046
F4,0.7752,0.9094,0.0995,5.7085,-3.644,1.6846,-15.7622,0.0934,0.1064,0.0932,0.1059
G4,0.7935,0.8989,0.1431,6.668,-3.4345,1.6924,-8.7075,0.1306,0.1576,0.1298,0.1563
B5,0.7961,0.9664,0.1255,6.7918,-3.3425,1.7624,-10.7528,0.1145,0.1386,0.1136,0.1373
C5,0.7971,1.0188,0.1162,6.9833,-3.2077,1.8159,-11.9562,0.1051,0.1302,0.104,0.1285
D5,0.795,0.6324,0.1046,7.5697,-3.1101,1.4275,-13.3839,0.0912,0.1214,0.0899,0.1194
E5,0.7782,0.8684,0.0971,6.4962,-3.5999,1.6466,-15.598,0.0904,0.1046,0.0901,0.104
F5,0.7782,0.9671,0.0861,6.9408,-3.3723,1.7453,-17.9352,0.0794,0.0945,0.0787,0.0934
G5,0.8143,0.7652,0.1622,7.1201,-3.1142,1.5795,-6.8283,0.1445,0.1835,0.143,0.1813
B6,0.7991,0.8233,0.1301,8.6,-3.2521,1.6225,-8.401,0.1187,0.1431,0.118,0.1421
C6,0.7896,0.7487,0.0923,6.9939,-3.3641,1.5384,-16.5572,0.0849,0.1008,0.0845,0.1001
D6,0.7916,0.7644,0.1075,7.4925,-3.2259,1.556,-12.8241,0.0977,0.119,0.097,0.118
E6,0.787,0.7687,0.1062,8.0169,-3.2794,1.5558,-12.4352,0.0969,0.1169,0.0963,0.116
F6,0.7744,0.7666,0.1128,8.3025,-3.5072,1.541,-10.6547,0.1049,0.1217,0.1045,0.1211
G6,0.7835,0.8083,0.1118,7.1441,-3.5771,1.5917,-12.1996,0.1053,0.119,0.105,0.1186
B7,0.8099,0.8707,0.1489,6.9383,-3.209,1.6805,-8.1509,0.1357,0.1641,0.1349,0.1628
C7,0.7987,0.832,0.1237,8.0019,-3.2288,1.6306,-9.8507,0.1123,0.137,0.1115,0.1359
D7,0.7923,0.8423,0.1431,8.0262,-3.1255,1.6346,-7.3228,0.1285,0.1603,0.1275,0.1587
E7,0.7844,0.8239,0.136,8.3204,-3.2159,1.6083,-7.6623,0.1229,0.1512,0.122,0.1499
F7,0.778,0.8418,0.1185,7.3815,-3.3964,1.6198,-10.7592,0.11,0.1282,0.1096,0.1275
G7,0.7865,0.8596,0.1349,6.3719,-3.2583,1.6461,-9.7774,0.1244,0.1468,0.1238,0.146
