Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7545,0.37,0.0519,11.8167,-4.4491,1.1245,-27.9958,0.0489,0.0552,0.0488,0.055
C8,0.7496,0.3645,0.0575,11.079,-4.4993,1.1141,-24.6376,0.0542,0.0612,0.054,0.061
D8,0.7476,0.4192,0.0884,12.2275,-3.9792,1.1668,-11.0656,0.0801,0.0979,0.0796,0.0972
E8,0.7456,0.3799,0.0639,12.3957,-4.4645,1.1255,-19.6266,0.0599,0.0682,0.0598,0.068
F8,0.7518,0.3353,0.0413,12.1993,-4.4436,1.0871,-37.5662,0.0387,0.0442,0.0386,0.044
G8,0.7616,0.3889,0.0942,11.9661,-4.2569,1.1505,-10.3163,0.0868,0.1025,0.0864,0.1019
B9,0.7566,0.416,0.0443,14.4863,-4.4369,1.1726,-32.208,0.042,0.0469,0.0419,0.0468
C9,0.7519,0.3846,0.0345,14.2502,-4.7265,1.1366,-45.2504,0.033,0.0361,0.033,0.036
D9,0.7551,0.4588,0.0319,15.0766,-4.9991,1.2138,-49.4678,0.0311,0.0329,0.031,0.0329
E9,0.7436,0.3265,0.0207,15.0297,-5.3016,1.0701,-83.0711,0.0201,0.0213,0.0201,0.0212
F9,0.751,0.3931,0.0278,14.6999,-4.9053,1.1442,-59.0805,0.0268,0.0288,0.0268,0.0288
G9,0.751,0.3155,0.0262,14.6167,-5.104,1.0665,-63.7142,0.0252,0.0272,0.0252,0.0271
B10,0.7479,0.5624,0.0844,12.5074,-3.962,1.3103,-11.8737,0.0767,0.094,0.0759,0.0929
C10,0.7424,0.3871,0.0511,12.4546,-4.3084,1.1294,-27.3482,0.0478,0.0548,0.0476,0.0545
D10,0.7445,0.4272,0.0498,12.8598,-4.4641,1.1717,-28.0823,0.0474,0.0524,0.0473,0.0523
E10,0.7382,0.4181,0.0362,12.3704,-4.3377,1.1562,-43.3141,0.0343,0.0384,0.0342,0.0382
F10,0.7408,0.4448,0.0321,12.4008,-4.515,1.1857,-50.6608,0.0308,0.0335,0.0308,0.0334
G10,0.757,0.4316,0.1101,13.023,-3.7091,1.1886,-5.963,0.0967,0.1265,0.0955,0.1248
B11,0.7528,0.2689,0.0584,14.495,-4.2382,1.0216,-20.8197,0.0526,0.0653,0.0522,0.0647
C11,0.7541,0.2982,0.059,13.7949,-4.2642,1.0523,-21.2775,0.0539,0.0648,0.0536,0.0643
D11,0.7469,0.2511,0.048,13.9101,-4.4653,0.998,-28.7197,0.0439,0.0526,0.0437,0.0523
E11,0.7524,0.243,0.0462,13.2862,-4.2657,0.9954,-31.2342,0.0415,0.0519,0.0411,0.0514
F11,0.7529,0.2437,0.0442,14.3181,-4.4344,0.9966,-32.2499,0.0403,0.0487,0.0401,0.0484
G11,0.7574,0.2159,0.0429,12.1259,-4.2653,0.9734,-36.111,0.038,0.0489,0.0376,0.0483
