Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7823,0.4055,0.1173,8.2969,-3.9609,1.1878,-10.1338,0.1054,0.1314,0.1045,0.1301
C4,0.7736,0.3172,0.0481,8.6549,-4.3544,1.0908,-35.339,0.0446,0.0521,0.0444,0.0518
D4,0.7799,0.4692,0.0988,8.1259,-3.8868,1.2491,-13.6399,0.0881,0.1113,0.0874,0.1101
E4,0.7725,0.3093,0.0697,9.2191,-4.0851,1.0818,-21.2199,0.0618,0.0792,0.0611,0.0782
F4,0.7776,0.3413,0.0725,8.7941,-4.2948,1.1188,-20.6621,0.0668,0.079,0.0664,0.0785
G4,0.7847,0.4109,0.1078,8.2239,-3.9786,1.1956,-11.8637,0.0973,0.1201,0.0966,0.119
B5,0.7793,0.472,0.0708,10.2235,-3.9333,1.2513,-19.9758,0.0642,0.0786,0.0638,0.0779
C5,0.7693,0.2643,0.0482,11.4294,-4.2642,1.0337,-32.2213,0.0441,0.0531,0.0438,0.0527
D5,0.7706,0.5853,0.1101,11.3572,-3.7263,1.3559,-7.9606,0.0986,0.1237,0.0978,0.1225
E5,0.7683,0.3708,0.0589,11.1792,-4.0044,1.1391,-24.5765,0.0529,0.066,0.0525,0.0653
F5,0.7749,0.4561,0.077,11.0067,-3.9364,1.231,-16.6387,0.0693,0.086,0.0688,0.0852
G5,0.7758,0.3693,0.0595,10.7849,-4.0343,1.1451,-24.9712,0.0534,0.0666,0.053,0.066
B6,0.781,0.2922,0.0714,10.8134,-4.0881,1.0732,-19.2337,0.0639,0.0803,0.0633,0.0795
C6,0.7687,0.2546,0.061,11.2825,-4.1979,1.0233,-23.2571,0.0547,0.0685,0.0542,0.0678
D6,0.7679,0.2723,0.0608,11.4015,-4.0922,1.0402,-23.2589,0.0543,0.0685,0.0537,0.0678
E6,0.7721,0.253,0.0598,11.4118,-4.2045,1.0251,-23.9649,0.0537,0.0672,0.0532,0.0665
F6,0.7705,0.2424,0.0561,11.4179,-4.124,1.0129,-26.2283,0.0496,0.064,0.049,0.0632
G6,0.7764,0.2335,0.0563,11.1502,-4.3108,1.0099,-26.6359,0.0506,0.0631,0.0502,0.0624
B7,0.7817,0.3104,0.0729,9.8597,-4.0906,1.0921,-19.5985,0.0644,0.083,0.0638,0.0819
C7,0.7774,0.3582,0.075,9.3156,-4.0308,1.1356,-19.1612,0.0669,0.0846,0.0663,0.0837
D7,0.7696,0.4516,0.0893,9.3156,-3.9958,1.2213,-14.4133,0.0806,0.0993,0.0801,0.0985
E7,0.7749,0.4282,0.085,9.5874,-4.0273,1.2031,-15.4879,0.0766,0.0948,0.0761,0.094
F7,0.7827,0.2663,0.0613,9.5364,-4.1246,1.0489,-25.4849,0.0542,0.0699,0.0536,0.069
G7,0.7824,0.3808,0.0848,9.6519,-4.0379,1.1632,-15.7254,0.0756,0.0956,0.075,0.0946
