Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7887,0.8873,0.1057,6.523,-3.5066,1.676,-14.0543,0.0971,0.1161,0.0964,0.115
C4,0.7888,0.8424,0.0938,6.0287,-3.5343,1.6311,-17.1394,0.0863,0.1026,0.0858,0.1017
D4,0.7894,0.972,0.1104,6.4658,-3.568,1.7613,-13.2718,0.103,0.119,0.1025,0.1182
E4,0.776,0.834,0.1113,6.1049,-3.6932,1.61,-13.1557,0.1036,0.1199,0.1033,0.1192
F4,0.7923,0.9356,0.1131,6.1546,-3.5619,1.7278,-13.185,0.1051,0.1224,0.1046,0.1216
G4,0.7831,0.9183,0.103,5.8243,-3.8035,1.7014,-15.1329,0.0975,0.1093,0.0973,0.1088
B5,0.7954,0.9981,0.1019,7.0249,-3.4617,1.7935,-14.4946,0.0945,0.1108,0.0939,0.1099
C5,0.7905,0.9826,0.1048,7.5395,-3.5124,1.7731,-13.2659,0.0974,0.1136,0.0968,0.1128
D5,0.7853,0.9179,0.0844,7.0498,-3.5039,1.7032,-18.5408,0.0783,0.0919,0.0778,0.091
E5,0.7909,0.9649,0.0977,6.9885,-3.5363,1.7558,-15.3216,0.0908,0.1059,0.0903,0.1051
F5,0.7863,1.0128,0.1012,6.7715,-3.5801,1.7991,-14.6453,0.0949,0.1087,0.0944,0.108
G5,0.7989,0.8921,0.0929,6.1137,-3.5887,1.6911,-17.5707,0.0864,0.1004,0.086,0.0997
B6,0.8012,0.9539,0.0999,7.0798,-3.4738,1.7552,-15.0244,0.0922,0.1091,0.0916,0.1082
C6,0.7859,0.9812,0.0904,7.5718,-3.548,1.7671,-16.3516,0.0844,0.0977,0.0839,0.0969
D6,0.7905,0.9767,0.0894,7.1672,-3.5117,1.7671,-17.1548,0.0834,0.0968,0.0828,0.096
E6,0.7905,0.9799,0.0895,7.4172,-3.5521,1.7704,-16.887,0.0837,0.0965,0.0832,0.0958
F6,0.8012,0.9276,0.0867,6.3845,-3.642,1.7288,-19.025,0.0813,0.0931,0.081,0.0925
G6,0.7968,0.9116,0.0902,6.7593,-3.6114,1.7084,-17.5538,0.0841,0.0974,0.0836,0.0968
B7,0.7932,0.9179,0.1084,7.4341,-3.5183,1.7111,-12.7563,0.1001,0.1181,0.0996,0.1172
C7,0.8143,0.9667,0.11,6.1776,-3.3769,1.7811,-14.2403,0.1009,0.1211,0.1001,0.1199
D7,0.7897,1.0095,0.0956,6.9704,-3.4061,1.7992,-15.7778,0.0887,0.104,0.0881,0.1031
E7,0.7833,0.932,0.0862,6.996,-3.5502,1.7154,-17.9986,0.0805,0.093,0.0801,0.0924
F7,0.7993,0.9342,0.097,6.392,-3.6488,1.7334,-16.3051,0.091,0.1038,0.0907,0.1033
G7,0.8028,1.0028,0.1143,6.7517,-3.4736,1.8056,-12.6349,0.1062,0.1238,0.1057,0.123
