Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.8012,0.4149,0.0847,8.1753,-3.9215,1.2161,-17.8254,0.0767,0.0941,0.0762,0.0933
C8,0.8064,0.3977,0.0752,7.8962,-3.9495,1.2041,-21.5671,0.0682,0.0833,0.0677,0.0826
D8,0.7941,0.4154,0.0782,7.786,-3.8541,1.2095,-20.1171,0.0704,0.0873,0.0699,0.0865
E8,0.7903,0.3905,0.0745,7.6627,-4.0108,1.1808,-21.4763,0.0679,0.0821,0.0675,0.0815
F8,0.7975,0.4479,0.0802,7.7106,-4.0366,1.2453,-19.6293,0.0743,0.0867,0.0741,0.0863
G8,0.7988,0.4435,0.081,7.8429,-4.0505,1.2423,-19.2593,0.0748,0.088,0.0745,0.0875
B9,0.7873,0.4245,0.0572,10.4514,-4.1822,1.2118,-27.265,0.0532,0.0616,0.0531,0.0613
C9,0.783,0.4116,0.0568,11.2758,-4.2081,1.1947,-26.5094,0.0527,0.0614,0.0525,0.0611
D9,0.7817,0.4256,0.0509,10.956,-4.4182,1.2073,-31.0561,0.0481,0.0541,0.048,0.0539
E9,0.7739,0.4285,0.0541,11.2634,-4.3609,1.2024,-27.9224,0.0509,0.0576,0.0508,0.0574
F9,0.7805,0.3342,0.0437,12.0681,-4.3035,1.1147,-36.7592,0.0401,0.0479,0.0399,0.0476
G9,0.7834,0.3962,0.0549,11.0867,-4.1513,1.1796,-28.0151,0.0506,0.0597,0.0504,0.0594
B10,0.7983,0.4347,0.0719,9.7072,-4.0413,1.233,-20.7922,0.0655,0.0792,0.0651,0.0786
C10,0.7979,0.3913,0.0585,9.4961,-3.8112,1.1892,-27.8715,0.0512,0.0678,0.0504,0.0666
D10,0.7879,0.4269,0.0559,9.0148,-3.8435,1.2147,-29.6292,0.05,0.0628,0.0496,0.0621
E10,0.7956,0.3951,0.0755,9.7446,-3.7217,1.1908,-19.2127,0.0666,0.0862,0.0659,0.0851
F10,0.8002,0.414,0.0765,9.5213,-3.8996,1.2142,-19.2062,0.0694,0.0847,0.069,0.0841
G10,0.7964,0.4075,0.0867,10.001,-3.8636,1.2038,-15.2798,0.0775,0.0974,0.0769,0.0964
B11,0.7896,0.3521,0.069,10.1384,-4.0249,1.1417,-21.2464,0.0616,0.0778,0.0611,0.077
C11,0.787,0.301,0.0682,9.9228,-4.0848,1.088,-21.7296,0.0603,0.0777,0.0597,0.0768
D11,0.7813,0.3546,0.07,9.78,-4.0506,1.1359,-20.8543,0.0626,0.0787,0.0621,0.0779
E11,0.7775,0.2992,0.0668,10.1075,-4.0689,1.0767,-21.8426,0.0591,0.076,0.0585,0.0751
F11,0.7869,0.4211,0.0743,9.1595,-3.948,1.208,-19.9333,0.0668,0.0831,0.0663,0.0823
G11,0.798,0.3454,0.0661,9.7602,-4.0407,1.1434,-23.3396,0.059,0.0746,0.0585,0.0738
