Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7789,0.8403,0.1151,7.031,-3.0976,1.6192,-11.6695,0.1032,0.1292,0.1023,0.1278
C4,0.7997,0.8084,0.1578,6.8362,-2.8465,1.6081,-7.2361,0.1333,0.1891,0.1306,0.1851
D4,0.7928,0.7756,0.1265,6.4281,-2.873,1.5684,-10.9093,0.1067,0.1522,0.1043,0.1487
E4,0.7853,0.7774,0.1434,7.1434,-2.9917,1.5627,-8.0427,0.1237,0.168,0.1217,0.1651
F4,0.781,0.7707,0.13,6.9825,-2.9387,1.5517,-9.6466,0.1108,0.1547,0.1085,0.1515
G4,0.7783,0.8477,0.1047,5.9507,-2.8377,1.626,-14.5521,0.0905,0.1229,0.0889,0.1205
B5,0.7936,0.7809,0.1883,7.3165,-2.9529,1.5745,-4.4415,0.162,0.221,0.1594,0.2171
C5,0.7963,0.7739,0.1502,6.7875,-3.1996,1.5702,-7.9211,0.1346,0.1687,0.1334,0.167
D5,0.794,0.7643,0.1639,6.266,-3.1918,1.5583,-7.2005,0.1462,0.185,0.1449,0.183
E5,0.7882,0.7665,0.1337,6.1999,-3.2963,1.5547,-10.1209,0.1212,0.1484,0.1203,0.1471
F5,0.7867,0.7568,0.1291,6.2331,-3.2471,1.5435,-10.6321,0.1159,0.1447,0.1149,0.1432
G5,0.7893,0.7726,0.1236,6.5142,-3.1256,1.5619,-11.1513,0.1097,0.1401,0.1086,0.1385
B6,0.8005,0.71,0.1888,6.6312,-3.0026,1.5105,-5.194,0.1644,0.2195,0.1619,0.2157
C6,0.7948,0.7139,0.1684,5.9565,-3.0177,1.5086,-7.1748,0.147,0.1949,0.1449,0.1918
D6,0.8093,0.7735,0.1721,6.2623,-3.0309,1.5828,-6.8219,0.1518,0.1968,0.15,0.1941
E6,0.7901,0.7452,0.1569,6.3968,-3.0626,1.5353,-7.5924,0.1386,0.1791,0.137,0.1768
F6,0.7869,0.7325,0.1523,5.9478,-3.0798,1.5194,-8.3972,0.134,0.1745,0.1324,0.1722
G6,0.8026,0.7011,0.1634,5.6732,-3.1226,1.5037,-7.9803,0.1441,0.1868,0.1424,0.1843
B7,0.791,0.8489,0.1232,6.7014,-3.671,1.6398,-11.0481,0.1147,0.1327,0.1144,0.132
C7,0.8014,0.8387,0.1381,6.122,-3.7589,1.6401,-9.9547,0.1289,0.1483,0.1286,0.1476
D7,0.829,0.9283,0.145,6.2073,-3.7671,1.7573,-9.6308,0.1363,0.1546,0.1361,0.154
E7,0.7895,0.821,0.1637,5.7998,-3.5729,1.6105,-7.6085,0.1505,0.1787,0.1499,0.1776
F7,0.7935,0.8026,0.1264,5.8057,-3.7922,1.5961,-11.5589,0.1185,0.1351,0.1183,0.1345
G7,0.8013,0.8374,0.1404,5.9342,-3.6645,1.6387,-9.8765,0.1306,0.1514,0.1302,0.1507
