Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7315,1.0317,0.0986,4.5421,-2.8147,1.7632,-15.9334,0.0887,0.1103,0.088,0.1091
C4,0.7452,0.9334,0.115,4.5892,-2.7766,1.6786,-13.3286,0.1,0.1344,0.0982,0.1318
D4,0.7227,0.9628,0.0923,4.5468,-3.0209,1.6854,-17.0409,0.0845,0.1012,0.084,0.1005
E4,0.7299,0.9727,0.09,4.6379,-3.1314,1.7026,-17.7077,0.0835,0.0974,0.0831,0.0969
F4,0.7233,0.9844,0.0876,4.672,-3.1934,1.7077,-18.0672,0.0819,0.094,0.0816,0.0936
G4,0.7146,1.0274,0.084,3.9027,-2.9861,1.7419,-19.5246,0.0773,0.0916,0.0769,0.091
B5,0.7678,0.617,0.1515,7.2646,-3.1262,1.3847,-6.8109,0.1309,0.1773,0.1288,0.1742
C5,0.7598,0.6607,0.1236,6.5961,-2.8839,1.4204,-10.4182,0.1025,0.151,0.0999,0.1472
D5,0.758,0.66,0.1228,6.5015,-2.9807,1.4179,-10.5699,0.1039,0.1471,0.1017,0.144
E5,0.7582,0.6716,0.129,6.4487,-3.001,1.4298,-9.828,0.1099,0.1532,0.1078,0.1502
F5,0.7677,0.6812,0.1516,6.7986,-2.8882,1.4489,-7.2651,0.1268,0.1839,0.1238,0.1794
G5,0.761,0.6515,0.1505,6.9252,-3.1428,1.4125,-7.1186,0.1321,0.1731,0.1304,0.1706
B6,0.7741,0.9148,0.1569,6.6154,-2.8819,1.6889,-7.0958,0.1369,0.1817,0.1349,0.1789
C6,0.7591,0.8791,0.1142,5.8187,-3.4027,1.6381,-12.5529,0.1066,0.1226,0.1063,0.1221
D6,0.767,0.8873,0.1382,6.2899,-3.1773,1.6543,-9.101,0.1258,0.1526,0.1249,0.1514
E6,0.7594,0.8959,0.1207,6.1071,-3.2888,1.6552,-11.2958,0.1115,0.1311,0.111,0.1304
F6,0.7637,0.8561,0.1407,6.5724,-3.254,1.6198,-8.4787,0.1287,0.1546,0.128,0.1535
G6,0.7595,0.9628,0.1178,5.3987,-3.035,1.7223,-12.4336,0.1072,0.1301,0.1065,0.129
B7,0.7826,0.8283,0.1238,7.3822,-3.4516,1.6109,-10.0996,0.1132,0.1361,0.1125,0.1351
C7,0.7651,0.8882,0.1223,6.9565,-3.5855,1.6533,-10.3523,0.1139,0.1316,0.1136,0.131
D7,0.7623,0.8721,0.1159,7.5135,-3.4769,1.6345,-10.6667,0.1069,0.1262,0.1064,0.1254
E7,0.7657,0.7599,0.1216,7.4195,-3.6326,1.5256,-9.9944,0.1131,0.1311,0.1128,0.1305
F7,0.7871,0.6966,0.128,6.4874,-3.3639,1.4837,-10.5288,0.1169,0.1409,0.1162,0.1398
G7,0.7758,0.8483,0.1356,6.5585,-3.8504,1.6241,-9.2965,0.1282,0.1436,0.128,0.1432
