Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7836,0.7271,0.1363,6.847,-3.9781,1.5107,-9.086,0.1295,0.1436,0.1293,0.1432
C4,0.7849,0.689,0.1372,7.3341,-3.6472,1.4738,-8.5218,0.1274,0.148,0.127,0.1473
D4,0.7838,0.6785,0.1303,7.1697,-3.7843,1.4623,-9.4789,0.1222,0.1393,0.1219,0.1388
E4,0.7982,0.7032,0.1296,6.8043,-3.7521,1.5013,-10.2353,0.1217,0.1384,0.1213,0.1379
F4,0.7813,0.6861,0.1201,6.8096,-3.8761,1.4674,-11.1773,0.1135,0.1272,0.1133,0.1269
G4,0.7926,0.7425,0.1246,6.8539,-3.901,1.5351,-10.7309,0.1185,0.1313,0.1184,0.1309
B5,0.8025,0.7468,0.1695,7.1011,-3.2919,1.5493,-6.0661,0.1527,0.1894,0.1515,0.1876
C5,0.8134,0.77,0.2027,6.9713,-3.0865,1.5833,-4.237,0.1791,0.2313,0.1771,0.2282
D5,0.7931,0.7667,0.1468,6.4042,-3.5737,1.5597,-8.5816,0.1364,0.1584,0.136,0.1576
E5,0.7955,0.7748,0.1233,5.922,-3.6624,1.5702,-11.908,0.1157,0.1318,0.1154,0.1313
F5,0.7996,0.7695,0.1559,6.1479,-3.6364,1.5691,-8.098,0.1455,0.1674,0.145,0.1667
G5,0.8083,0.7639,0.1669,6.3137,-3.3305,1.5722,-7.1469,0.1523,0.1838,0.1515,0.1824
B6,0.8144,0.8576,0.2376,8.4368,-3.3104,1.6719,-1.1794,0.2154,0.2633,0.214,0.2612
C6,0.7926,0.8062,0.1715,8.8895,-3.4547,1.5988,-3.9743,0.1575,0.1874,0.1567,0.1862
D6,0.7988,0.8366,0.1929,8.5253,-3.3964,1.6353,-3.0322,0.1768,0.2113,0.1759,0.2099
E6,0.7954,0.8187,0.1523,7.3948,-3.6191,1.6141,-7.1011,0.1429,0.1626,0.1426,0.162
F6,0.7987,0.8134,0.1666,7.6289,-3.537,1.6121,-5.7028,0.1555,0.1789,0.155,0.1782
G6,0.805,0.7805,0.1368,8.104,-3.5376,1.5855,-8.1905,0.127,0.1479,0.1265,0.1471
B7,0.8067,0.9233,0.1912,8.8043,-3.4628,1.7301,-2.9629,0.1747,0.21,0.1739,0.2085
C7,0.7942,0.8455,0.1431,9.1284,-3.4165,1.6397,-6.2593,0.1297,0.1587,0.1288,0.1573
D7,0.7945,0.7675,0.155,8.6275,-3.4405,1.562,-5.6089,0.1424,0.1693,0.1417,0.1682
E7,0.7905,0.7857,0.1775,7.3961,-3.721,1.5763,-5.0131,0.1669,0.1891,0.1665,0.1884
F7,0.806,0.8488,0.1511,6.9849,-3.3857,1.6547,-7.8188,0.1404,0.163,0.1399,0.1622
G7,0.8055,0.8574,0.1585,6.5338,-3.6686,1.6629,-7.5844,0.15,0.1677,0.1497,0.1672
