Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7351,1.0029,0.0723,6.0043,-3.3637,1.738,-21.9142,0.0692,0.0758,0.0691,0.0756
C4,0.7255,0.8916,0.0698,5.858,-3.2508,1.6171,-22.6935,0.0656,0.0744,0.0654,0.0742
D4,0.7376,0.9118,0.0751,6.2259,-3.3208,1.6494,-20.7536,0.0711,0.0796,0.0709,0.0794
E4,0.7409,0.869,0.0753,6.4024,-3.4333,1.6099,-20.6377,0.0714,0.0795,0.0713,0.0793
F4,0.7343,0.878,0.0791,6.4286,-3.3201,1.6123,-19.1207,0.0744,0.0842,0.0742,0.0839
G4,0.7429,0.9977,0.0928,5.8456,-2.8761,1.7406,-16.2252,0.0848,0.1022,0.0842,0.1014
B5,0.7521,0.9736,0.1034,8.2626,-2.7427,1.7257,-11.8083,0.0912,0.1191,0.0898,0.117
C5,0.758,0.8825,0.1155,9.261,-3.1087,1.6404,-8.8825,0.1046,0.1284,0.1037,0.1272
D5,0.7433,0.881,0.0957,8.4737,-3.1621,1.6243,-12.9314,0.0881,0.1045,0.0876,0.1038
E5,0.7464,0.8901,0.0926,8.4529,-3.2887,1.6365,-13.7553,0.0865,0.0995,0.0861,0.0991
F5,0.7365,0.8859,0.0843,8.0294,-3.1415,1.6224,-16.0221,0.0779,0.0916,0.0775,0.091
G5,0.7569,0.8897,0.1212,8.4447,-2.8915,1.6466,-8.8291,0.1057,0.1411,0.1039,0.1385
B6,0.7582,0.9152,0.1213,9.2053,-3.0307,1.6735,-8.08,0.1092,0.1358,0.1082,0.1345
C6,0.7637,0.8148,0.1142,7.8331,-3.3499,1.5785,-10.652,0.1054,0.1241,0.1049,0.1235
D6,0.7524,0.8101,0.1154,9.1166,-3.3703,1.5625,-8.9099,0.1064,0.1255,0.1059,0.1248
E6,0.7465,0.8219,0.1053,8.7125,-3.3901,1.5684,-10.8557,0.0977,0.1139,0.0973,0.1133
F6,0.7493,0.8219,0.1011,8.9188,-3.4267,1.5712,-11.5216,0.0943,0.1088,0.0939,0.1084
G6,0.7607,0.899,0.1067,7.8574,-3.2514,1.6596,-11.8299,0.0989,0.1154,0.0985,0.1148
B7,0.7769,0.7171,0.1382,8.7022,-2.9976,1.494,-6.8766,0.1218,0.1581,0.1203,0.1561
C7,0.7536,0.7473,0.0571,5.2919,-2.8604,1.5009,-30.8549,0.0496,0.0668,0.0487,0.0656
D7,0.7505,0.7773,0.0963,8.2804,-2.947,1.5278,-13.2126,0.0849,0.1099,0.0839,0.1086
E7,0.74,0.804,0.0743,6.2495,-2.8632,1.5439,-21.1086,0.0652,0.0857,0.0643,0.0844
F7,0.7364,0.7362,0.0716,7.2922,-3.1198,1.4726,-20.979,0.0646,0.0797,0.0641,0.079
G7,0.7792,0.6878,0.1055,7.2618,-3.1108,1.467,-13.1206,0.0937,0.1196,0.0927,0.1182
