Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7968,0.7448,0.1053,6.3635,-3.7211,1.5416,-14.5046,0.0972,0.1147,0.0967,0.1139
C4,0.7943,0.7269,0.0981,6.6884,-3.7751,1.5212,-15.6126,0.0907,0.1067,0.0903,0.106
D4,0.7963,0.7181,0.096,6.672,-3.7354,1.5145,-16.1755,0.0885,0.1046,0.0881,0.1039
E4,0.7863,0.7369,0.1014,6.5715,-3.7358,1.5232,-14.804,0.0938,0.1102,0.0934,0.1095
F4,0.7914,0.7028,0.0951,6.4374,-3.7422,1.4942,-16.481,0.0876,0.1038,0.0872,0.1031
G4,0.8031,0.7452,0.1092,6.5211,-3.6618,1.5484,-13.7754,0.1,0.1199,0.0994,0.1189
B5,0.8034,0.8666,0.118,6.6555,-3.521,1.67,-12.1538,0.1084,0.1292,0.1077,0.1282
C5,0.8042,0.8142,0.1092,6.5563,-3.5834,1.6185,-13.7557,0.1005,0.1194,0.0999,0.1185
D5,0.795,0.8348,0.1196,6.7125,-3.5918,1.6298,-11.6523,0.1104,0.1303,0.1099,0.1294
E5,0.7974,0.8448,0.1315,6.6032,-3.6086,1.6421,-10.1791,0.1215,0.1428,0.1211,0.1419
F5,0.7918,0.8711,0.1119,6.394,-3.6407,1.6629,-13.1436,0.1041,0.1208,0.1037,0.1201
G5,0.8054,0.8583,0.1078,6.5774,-3.5648,1.6636,-14.0312,0.0994,0.1176,0.0989,0.1167
B6,0.8299,0.9112,0.1491,6.6717,-3.0916,1.7412,-8.7622,0.1295,0.1743,0.1273,0.1709
C6,0.8183,0.6506,0.1167,5.6401,-3.1009,1.4689,-13.7281,0.1032,0.133,0.1021,0.1312
D6,0.8127,0.6554,0.1111,5.5002,-3.124,1.4682,-14.6899,0.098,0.1271,0.0968,0.1253
E6,0.7977,0.7024,0.1265,5.7795,-3.2295,1.5,-11.6637,0.1136,0.1417,0.1127,0.1403
F6,0.7974,0.7422,0.1236,5.8686,-3.4887,1.5397,-11.9692,0.1149,0.1333,0.1145,0.1327
G6,0.8044,0.8392,0.1244,6.1618,-3.5125,1.6436,-11.7159,0.1141,0.1363,0.1135,0.1352
B7,0.8145,0.8812,0.1214,6.4556,-3.462,1.6957,-12.081,0.1114,0.133,0.1109,0.132
C7,0.7961,0.7967,0.1156,6.1165,-3.7385,1.5929,-12.8985,0.1079,0.1242,0.1076,0.1237
D7,0.7968,0.6798,0.1308,6.2764,-3.4614,1.4766,-10.5824,0.1202,0.143,0.1196,0.142
E7,0.7896,0.7284,0.0981,5.7464,-3.6627,1.518,-16.4425,0.0909,0.1061,0.0906,0.1055
F7,0.7971,0.7104,0.0897,5.5357,-3.7757,1.5075,-18.9298,0.0838,0.0962,0.0836,0.0957
G7,0.809,0.8806,0.1294,6.042,-3.4747,1.6896,-11.2552,0.119,0.1414,0.1184,0.1404
