Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7992,0.7602,0.1598,6.0201,-3.6179,1.5595,-7.8741,0.1481,0.1729,0.1476,0.172
C4,0.7739,0.7348,0.105,6.5788,-4.0138,1.5087,-13.7641,0.1001,0.1102,0.1,0.1099
D4,0.767,0.7188,0.1046,6.6333,-4.1613,1.4857,-13.6002,0.1003,0.1092,0.1002,0.109
E4,0.7679,0.7614,0.0935,6.5598,-4.36,1.5293,-16.0751,0.0905,0.0966,0.0905,0.0965
F4,0.7702,0.7346,0.1189,6.0321,-3.9157,1.5048,-11.8826,0.1127,0.1255,0.1125,0.1252
G4,0.7774,0.765,0.1124,6.0435,-4.0426,1.5424,-13.0544,0.1076,0.1176,0.1075,0.1173
B5,0.789,0.8083,0.1252,5.4486,-3.585,1.5972,-11.9784,0.1147,0.1375,0.1141,0.1364
C5,0.7861,0.7009,0.1042,5.3535,-3.6828,1.4871,-15.4623,0.0954,0.1143,0.0949,0.1134
D5,0.7765,0.6584,0.102,6.0097,-3.6445,1.435,-14.9755,0.092,0.114,0.0913,0.1128
E5,0.7849,0.7084,0.0912,5.4439,-3.58,1.4933,-18.2557,0.0828,0.1012,0.0822,0.1002
F5,0.7891,0.7343,0.1015,5.0173,-3.5863,1.5235,-16.424,0.0928,0.1116,0.0922,0.1107
G5,0.8069,0.8239,0.1317,5.0676,-3.4477,1.6309,-11.8863,0.1185,0.1477,0.1175,0.1459
B6,0.8199,0.8458,0.1835,6.2102,-3.3176,1.6657,-6.2353,0.1672,0.2024,0.1662,0.2008
C6,0.8027,0.8183,0.1277,5.5367,-3.2373,1.621,-11.8462,0.1164,0.1409,0.1157,0.1398
D6,0.8113,0.8093,0.1334,6.1031,-3.3741,1.6206,-10.7326,0.1217,0.147,0.1209,0.1458
E6,0.7881,0.8095,0.1065,4.9803,-3.5365,1.5976,-15.4373,0.0997,0.114,0.0995,0.1135
F6,0.8172,0.8318,0.1511,6.187,-3.1719,1.649,-8.8171,0.1362,0.1687,0.1351,0.167
G6,0.811,0.8145,0.1658,6.384,-3.2559,1.6255,-7.2153,0.1496,0.1848,0.1485,0.183
B7,0.782,0.8489,0.178,7.6119,-3.4885,1.6309,-4.6302,0.1633,0.1946,0.1626,0.1933
C7,0.7761,0.8841,0.1762,7.4338,-3.5969,1.6602,-4.8425,0.1629,0.1911,0.1623,0.19
D7,0.769,0.7733,0.1419,7.8549,-3.692,1.5423,-7.1757,0.133,0.1516,0.1327,0.1511
E7,0.7753,0.8142,0.1469,7.7898,-3.4874,1.5895,-6.8574,0.1353,0.1599,0.1348,0.159
F7,0.7762,0.8487,0.1414,7.1526,-3.6085,1.6248,-8.067,0.1318,0.1521,0.1314,0.1514
G7,0.7802,0.7945,0.1381,6.406,-3.6797,1.5747,-9.2507,0.1303,0.1467,0.13,0.1462
