Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7073,1.0822,0.1005,3.4955,-2.6858,1.7895,-15.9304,0.09,0.1138,0.0888,0.1122
C4,0.6977,1.0316,0.0903,2.9537,-2.8359,1.7294,-18.3483,0.0818,0.1011,0.0808,0.0998
D4,0.735,0.9733,0.1179,4.2852,-2.8015,1.7083,-12.965,0.1026,0.1378,0.1006,0.1352
E4,0.7196,0.9691,0.0802,4.1588,-3.3888,1.6887,-20.528,0.0764,0.0844,0.0762,0.0842
F4,0.7064,0.9859,0.086,3.3877,-3.0712,1.6923,-19.2524,0.0798,0.0931,0.0793,0.0926
G4,0.6515,1.1556,0.0784,1.8552,-2.9813,1.8071,-21.0366,0.0739,0.0835,0.0737,0.0831
B5,0.7819,0.6476,0.123,6.3697,-3.0015,1.4294,-11.2041,0.1048,0.1459,0.1028,0.1432
C5,0.2199,1.4048,0.0517,-7.6883,-2.7209,1.6248,-19.5545,0.0445,0.1552,0.0462,0.0572
D5,0.3399,1.2469,0.0549,-4.8689,-2.6884,1.5868,-22.0035,0.0484,0.2623,0.0438,0.066
E5,0.3256,1.2806,0.0562,-5.0303,-2.6885,1.6062,-21.0831,0.0495,0.1447,0.0444,0.068
F5,-0.5469,2.1558,0.0769,-14.761,-2.6487,1.6089,4.2637,0.0548,0.1211,0.0638,0.09
G5,0.7734,0.6483,0.121,6.2965,-2.9892,1.4216,-11.3737,0.1019,0.1449,0.0999,0.1422
B6,0.7541,0.9969,0.129,4.9527,-3.0054,1.751,-11.2356,0.1168,0.1435,0.1158,0.1422
C6,0.7194,0.9337,0.0849,3.9497,-3.1971,1.6531,-19.3832,0.0791,0.0915,0.0788,0.0911
D6,0.7332,0.944,0.0931,4.6015,-3.1919,1.6772,-17.1135,0.0866,0.1005,0.0862,0.1
E6,0.7286,0.9375,0.086,3.9912,-3.2542,1.666,-19.332,0.0805,0.0922,0.0802,0.0918
F6,0.7558,0.9256,0.1183,5.0155,-2.9317,1.6814,-12.6559,0.1048,0.1348,0.1035,0.133
G6,0.7393,0.9701,0.0972,4.6013,-3.2699,1.7094,-16.3842,0.0912,0.1038,0.0909,0.1034
B7,0.7464,0.9589,0.127,5.2008,-2.5776,1.7053,-11.0788,0.1045,0.1565,0.1015,0.1525
C7,0.7484,0.8835,0.1006,4.2763,-2.7366,1.6319,-16.2544,0.0873,0.1171,0.0859,0.1152
D7,0.742,0.8869,0.1142,4.3602,-2.9232,1.6289,-13.5983,0.1021,0.1286,0.1011,0.1273
E7,0.7454,0.8632,0.1033,4.8632,-3.0022,1.6086,-15.0511,0.0934,0.1149,0.0927,0.1139
F7,0.7188,0.9034,0.0978,4.0498,-2.8544,1.6222,-16.2266,0.0874,0.11,0.0867,0.109
G7,0.7016,0.9841,0.0991,3.0228,-2.6764,1.6857,-16.5282,0.0855,0.1157,0.084,0.1141
