 ,Area,Mean,Min,Max
1,79,2505.734,1769,3152
2,67,2533.776,1874,3138
3,84,2492.512,1774,3161
4,55,2660.655,2016,3156
5,105,2474.038,1980,3172
6,19,2897.368,2564,3159
7,86,2523.174,1818,3169
8,33,2679.364,2211,3130
9,36,2629.917,2139,3178
10,36,2762.028,2271,3179
11,129,2560.085,1990,3176
12,31,2792.871,2348,3174
13,17,2790.235,2430,3166
14,37,2668.351,2203,3165
15,31,2592.613,2056,3178
16,39,2794.513,2309,3171
17,52,2707.404,2145,3166
18,81,2476.395,1702,3178
19,126,2693.095,2174,3140
20,210,2156.876,1556,3135
21,281,2142.007,1424,3146
22,37,2905.946,2588,3148
23,100,2384.45,1546,3149
24,143,2291.329,1478,3147
25,80,2538.113,1781,3147
26,55,2648.527,2128,3119
27,65,2558,1937,3135
28,70,2691.3,2168,3142
29,152,2172.993,1514,3088
30,90,2545.067,1925,3098
31,150,2441.907,1874,3139
32,55,2717,2186,3136
33,118,2391.483,1485,3132
34,64,2489.875,1953,2965
35,63,2342.127,1746,2950
36,120,2136.183,1505,2955
37,98,2428.5,1956,2935
38,65,2391.415,1847,2938
39,75,2361.16,1807,2934
40,36,2619.278,2244,2950
41,154,2049.747,1461,2967
42,125,2105.632,1504,2997
43,70,2337.686,1704,3008
44,48,2442.583,1880,2992
45,31,2624.258,2280,2989
46,26,2682.654,2324,2973
47,69,2271.058,1594,3003
48,58,2493.707,1957,3007
49,46,2490.348,1932,3009
50,29,2690.31,2280,3009
51,32,2646.625,2223,2996
52,24,2613.292,2229,2972
53,72,2242.403,1666,2996
54,67,2385.075,1890,2999
55,25,2416.88,1948,2946
56,69,2425.159,1931,2981
