 ,Area,Mean,Min,Max
1,114,2043.588,1540,2612
2,331,1852.239,1282,2621
3,427,1878.396,1225,2623
4,333,1942.060,1331,2623
5,267,1877.622,1338,2623
6,418,1712.316,1250,2620
7,436,1773.626,1283,2622
8,74,1994.973,1332,2616
9,249,1675.494,1204,2623
10,214,1722.729,1254,2595
11,154,1771.182,1315,2621
12,70,2202.957,1648,2611
13,276,1781.188,1177,2623
14,298,1665.903,1160,2623
15,214,1709.836,1264,2623
16,428,1634.252,1156,2613
17,341,1703.889,1170,2622
18,378,1754.598,1132,2623
19,221,1779.154,1231,2601
20,162,1831.296,1261,2614
21,230,1772.235,1238,2628
22,189,1769.116,1208,2618
23,338,1806.086,1186,2625
24,142,1872.528,1264,2628
25,173,1930.035,1350,2623
26,344,1763.087,1238,2604
27,98,1843.276,1265,2594
28,266,1752.075,1329,2616
29,242,1670.248,1221,2614
30,257,1684.214,1238,2621
31,157,1837.949,1305,2623
32,148,1750.899,1229,2629
33,306,1688.471,1189,2630
34,290,1741.924,1201,2614
35,338,1802.775,1287,2638
36,243,1890.556,1278,2637
37,300,1806.793,1322,2637
38,213,1893.183,1274,2638
39,139,1941.331,1438,2623
40,124,1828.750,1303,2635
41,126,1810.643,1277,2633
42,349,1747.315,1175,2638
43,249,1859.908,1326,2628
44,155,1796.884,1254,2637
45,261,1750.529,1204,2630
46,216,1842.532,1391,2615
47,271,1812.424,1298,2635
48,198,1717.101,1171,2636
49,253,1858.364,1335,2638
50,227,1736.674,1203,2633
51,321,1676.984,1160,2634
52,336,1719.536,1180,2631
53,230,1812.443,1363,2623
54,47,873.830,715,1025
55,271,808.339,604,1035
56,191,778.812,579,1037
57,223,777.350,595,1039
58,401,792.209,587,1037
59,128,796.133,619,1028
60,416,746.925,540,1036
61,135,792.000,581,1035
62,318,701.535,540,1035
63,376,749.293,531,1039
64,581,733.229,533,1036
65,205,749.966,589,1039
66,193,767.865,594,1039
67,308,762.107,581,1039
68,306,730.873,560,1038
